@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,3,1,22.5,97,1.504077,0.166667,1.504077,2,2,1,0.691429,0.234286,0.091429,0.59,0.29,0.12,false,2,0,0,0,0,0,false,0.314286,0.091429,2,0.15,-0.154151,0.456,0.457143,0.377143,3,0.525,1.252763,0.456,0,0,1,raise
0,0,1,flop,7,1,58.5,93,0.693147,0.033058,0.693147,2,2,1,0.653333,0.22,0.136667,0.472,0.232,0.296,false,2,0,0,0,0,0,false,0.290909,0.058182,1.857143,0.169231,-0.510826,0.38,0.472727,0.421818,3.6,0.6,1.609438,0.38,0,0,1,raise
0,0,1,flop,7,3,76.5,89,2.484907,0.135593,2.772589,2,2,1,0.603077,0.203077,0.203077,0.393333,0.193333,0.413333,true,4,1,1,0.25,1.098612,0.090909,true,0.290909,0.058182,2,0.228571,-0.444686,0.38,0.472727,0.421818,3.8,0.630769,1.652923,0.38,0,0,1,raise
0,0,1,flop,7,5,177.5,65,4.174387,0.268041,4.532599,2,2,1,0.56,0.188571,0.26,0.337143,0.165714,0.497143,true,6,2,2,0.333333,2.70805,0.141414,true,0.290909,0.058182,2.142857,0.28,-0.251314,0.38,0.472727,0.421818,4,0.657143,1.673976,0.38,0,1,0,call
0,0,1,flop,9,1,248.5,99,0.916291,0.00996,0.916291,2,2,1,0.5525,0.2275,0.2275,0.295,0.27,0.435,false,1,0,0,0,0,0,false,0.246154,0.049231,1.875,0.247059,-1.37087,0.325714,0.476923,0.356923,3.5,0.6375,1.672522,0.325714,1,0,0,fold
0,0,1,flop,10,1,261.5,99,2.397895,0.040367,2.397895,2,2,1,0.546667,0.257778,0.202222,0.373333,0.24,0.386667,false,1,0,0,0,0,0,false,0.3,0.045714,1.666667,0.221053,-1.376038,0.285,0.442857,0.331429,3.666667,0.658823,1.764253,0.285,1,0,0,fold
0,0,1,flop,11,1,292,98,3.277145,0.083203,3.277145,2,2,1,0.570526,0.244211,0.191579,0.436,0.216,0.348,false,2,1,0,0.5,0.693147,0.036364,true,0.346667,0.109333,1.777778,0.247619,-1.336033,0.253333,0.48,0.309333,2.875,0.61,1.888386,0.253333,0,0,1,raise
0,0,1,flop,11,3,398,45,3.277145,0.062426,4.375757,2,2,1,0.542,0.232,0.232,0.396364,0.196364,0.407273,true,4,2,1,0.5,3.349904,0.341615,true,0.346667,0.109333,1.888889,0.281818,-0.864997,0.253333,0.48,0.309333,3,0.628571,1.282616,0.253333,0,0,1,raise
0,0,1,flop,14,1,475.5,98,0.693147,0.004188,0.693147,2,2,1,0.5136,0.2656,0.2256,0.363333,0.18,0.456667,false,2,0,0,0,0,0,false,0.344444,0.091111,1.636364,0.266667,-0.764973,0.228,0.511111,0.368889,3,0.648,0.998913,0.228,1,0,0,fold
0,0,1,flop,15,1,484.5,99,1.94591,0.014242,1.94591,2,2,1,0.532308,0.255385,0.216923,0.412308,0.166154,0.421538,false,1,0,0,0,0,0,false,0.326316,0.086316,1.636364,0.257143,-0.764973,0.207273,0.536842,0.349474,2.8,0.637037,1.028584,0.207273,0,0,1,raise
0,0,1,flop,15,3,515.5,85,2.302585,0.019029,3.178054,2,2,1,0.512593,0.245926,0.245926,0.382857,0.154286,0.462857,true,3,1,1,0.333333,2.079442,0.291667,true,0.326316,0.086316,1.727273,0.282759,-0.715477,0.207273,0.536842,0.349474,2.9,0.65,0.982473,0.207273,0,0,1,raise
0,0,1,flop,15,5,555.5,65,2.302585,0.017683,3.78419,2,2,1,0.494286,0.237143,0.272857,0.357333,0.144,0.498667,true,5,2,2,0.4,2.890372,0.386364,true,0.326316,0.086316,1.818182,0.306667,-0.655297,0.207273,0.536842,0.349474,3,0.662069,0.906945,0.207273,0,1,0,call
0,0,1,turn,15,1,568,55,0.916291,0.004382,0.916291,2,2,1,0.477241,0.263448,0.263448,0.53,0.37,0.1,false,6,2,0,0.333333,2.890372,0.365591,false,0.326316,0.086316,1.666667,0.296774,-0.71295,0.207273,0.536842,0.349474,3.1,0.673333,0.918614,0.207273,0,0,1,raise
0,0,1,turn,15,3,578,50,0.916291,0.004307,2.014903,2,2,1,0.461333,0.254667,0.288,0.424,0.296,0.28,true,8,3,1,0.375,3.020425,0.378641,true,0.326316,0.086316,1.75,0.31875,-0.698687,0.207273,0.536842,0.349474,3.2,0.683871,0.901493,0.207273,0,1,0,call
