@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,river,16,false,0,476.5,67.5,2,2,1,0.34,0.35,5,1,0.2,1.098612,0.063492,false,0.31,0.032,1.263158,0.347368,-0.974998,0.253333,0.26,0.232,4.625,0.689474,0.984668,0.253333,1,bet
0,0,2,flop,40,false,0,746.5,98,2,2,1,0.472,0.38,1,0,0,0,0,false,0.209091,0.014545,1.347826,0.320635,-0.742662,0.175385,0.209091,0.173636,4.083333,0.606349,1.101924,0.175385,1,bet
0,0,2,turn,42,false,0,760.5,95.5,2,2,1,0.56,0.36,2,0,0,0,0,false,0.221739,0.013913,1.230769,0.311765,-0.7517,0.162857,0.243478,0.209565,4.333333,0.614925,1.114979,0.162857,1,bet
0,0,2,river,42,false,0,904.5,23.5,2,2,1,0.622857,0.48,7,3,0.428571,3.637586,0.490066,true,0.221739,0.013913,1.346154,0.340845,-0.589007,0.162857,0.243478,0.209565,4.153846,0.617143,0.910477,0.162857,1,bet
0,0,2,flop,82,false,0,1044,99,2,2,1,0.67,0.504,0,0,0,0,0,false,0.165116,0.030698,1.333333,0.283495,-0.563936,0.134118,0.2,0.18186,4.642857,0.553061,0.924835,0.134118,1,bet
0,0,2,turn,82,false,0,1058,92,2,2,1,0.706667,0.488,4,2,0.5,1.386294,0.428571,false,0.165116,0.030698,1.354839,0.29434,-0.559144,0.134118,0.2,0.18186,4.785714,0.562,0.915643,0.134118,1,bet
0,0,2,river,82,false,0,1066,88,2,2,1,0.736,0.566667,6,3,0.5,1.791759,0.454545,false,0.165116,0.030698,1.34375,0.298148,-0.553548,0.134118,0.2,0.18186,4.857143,0.566337,0.907949,0.134118,1,bet
0,0,2,flop,88,false,0,1079.5,99,2,2,1,0.76,0.586667,0,0,0,0,0,false,0.165217,0.028696,1.333333,0.296429,-0.542474,0.126667,0.186957,0.17,4.533333,0.544762,0.895251,0.126667,1,bet
0,0,2,turn,88,false,0,1087.5,95,2,2,1,0.78,0.573333,4,2,0.5,1.098612,0.5,false,0.165217,0.028696,1.352941,0.306087,-0.537143,0.126667,0.186957,0.17,4.666667,0.553271,0.887853,0.126667,1,bet
0,0,2,river,88,false,0,1103.5,87,2,2,1,0.796923,0.628571,7,4,0.571429,2.079442,0.583333,true,0.165217,0.028696,1.411765,0.317949,-0.516961,0.126667,0.186957,0.17,4.4375,0.552294,0.864838,0.126667,1,bet
0,0,2,flop,94,false,0,1233.5,76.5,2,2,1,0.811429,0.645714,2,1,0.5,0.693147,0.044444,false,0.185714,0.047347,1.333333,0.31938,-0.597247,0.114,0.216327,0.200408,4.647059,0.568333,0.990564,0.114,1,bet
0,0,2,flop,118,false,0,1718.5,83,2,2,1,0.824,0.69,1,0,0,0,0,false,0.190164,0.054426,1.142857,0.293507,-1.088988,0.095,0.206557,0.19377,5.352941,0.560839,1.368481,0.095,1,bet
0,0,2,turn,118,false,0,1778.5,53,2,2,1,0.835,0.634286,5,2,0.4,1.386294,0.065217,false,0.190164,0.054426,1.16,0.300637,-1.1228,0.095,0.206557,0.19377,5.470588,0.566897,1.389761,0.095,1,bet
