@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,3,1,65.5,70,0.916291,0.036765,0.916291,2,2,1,0.64,0.273333,0.106667,0.59,0.29,0.12,false,2,0,0,0,0,0,false,0.314286,0.091429,2,0.171429,-1.734601,0.456,0.314286,0.234286,2.8,0.4,1.919593,0.456,0,0,1,raise
0,0,1,flop,3,3,76,65,1.098612,0.037975,2.079442,2,2,1,0.548571,0.234286,0.234286,0.472,0.232,0.296,true,4,1,1,0.25,1.252763,0.067568,true,0.314286,0.091429,2.166667,0.275,-1.457246,0.456,0.314286,0.234286,3,0.466667,1.62186,0.456,0,1,0,call
0,0,1,turn,3,1,81,62,0.693147,0.024096,0.693147,2,2,1,0.48,0.33,0.205,0.53,0.37,0.1,false,5,1,0,0.2,1.252763,0.064103,false,0.314286,0.091429,1.857143,0.244444,-1.536234,0.456,0.314286,0.234286,3.2,0.52,1.670063,0.456,0,0,1,raise
0,0,1,turn,3,3,90,58,1.098612,0.032258,1.94591,2,2,1,0.426667,0.293333,0.293333,0.424,0.296,0.28,true,7,2,1,0.285714,1.704748,0.102273,true,0.314286,0.091429,2,0.32,-1.374318,0.456,0.314286,0.234286,3.4,0.563636,1.515127,0.456,0,1,0,call
0,0,1,river,3,1,102.5,55,2.251292,0.084821,2.251292,2,2,1,0.384,0.364,0.264,0.56,0.35,0.09,false,8,2,0,0.25,1.704748,0.084112,false,0.314286,0.091429,1.75,0.290909,-1.444114,0.456,0.314286,0.234286,3.6,0.6,1.704748,0.456,0,1,0,call
0,0,1,flop,7,1,126.5,96,0.693147,0.015564,0.693147,2,2,1,0.417143,0.402857,0.188571,0.393333,0.36,0.246667,false,2,0,0,0,0,0,false,0.290909,0.058182,1.4,0.213333,-1.691676,0.38,0.290909,0.24,4,0.613333,1.742969,0.38,0,0,1,raise
0,0,1,turn,7,1,149,92,2.80336,0.099698,2.80336,2,2,1,0.389333,0.376,0.242667,0.353333,0.413333,0.233333,false,4,1,0,0.25,1.098612,0.085106,true,0.290909,0.058182,1.5,0.2625,-1.551809,0.38,0.290909,0.24,3.5,0.6,1.811562,0.38,0,0,1,raise
0,0,1,turn,7,3,221.5,59,3.135494,0.09407,4.025352,2,2,1,0.365,0.3525,0.29,0.302857,0.354286,0.342857,true,6,2,1,0.333333,2.970414,0.293651,true,0.290909,0.058182,1.6,0.305882,-0.956837,0.38,0.290909,0.24,3.666667,0.622222,1.232862,0.38,0,1,0,call
0,0,1,river,7,1,247,36,0.916291,0.01002,0.916291,2,2,1,0.343529,0.390588,0.272941,0.448,0.48,0.072,false,7,2,0,0.285714,2.970414,0.282443,false,0.290909,0.058182,1.454545,0.288889,-1.222761,0.38,0.290909,0.24,3.833333,0.642105,1.257677,0.38,0,0,1,raise
0,0,1,river,7,3,257.5,31,1.098612,0.011516,2.079442,2,2,1,0.324444,0.368889,0.313333,0.373333,0.4,0.226667,true,9,3,1,0.333333,3.091043,0.295775,true,0.290909,0.058182,1.545455,0.326316,-1.165133,0.38,0.290909,0.24,4,0.66,1.203973,0.38,0,0,1,raise
0,0,1,flop,11,1,287.5,93,0.916291,0.008621,0.916291,2,2,1,0.356364,0.347273,0.301818,0.337143,0.308571,0.354286,false,2,0,0,0,0,0,false,0.28,0.042667,1.5,0.313043,-1.159521,0.325714,0.28,0.242667,3.714286,0.633333,1.176455,0.325714,0,0,1,raise
0,0,1,flop,11,3,298,88,1.098612,0.009967,2.079442,2,2,1,0.34087,0.332174,0.332174,0.295,0.27,0.435,true,4,1,1,0.25,1.252763,0.178571,true,0.28,0.042667,1.583333,0.341667,-1.112035,0.325714,0.28,0.242667,3.857143,0.648,1.13355,0.325714,0,0,1,raise
0,0,1,flop,11,5,313.5,82,1.871802,0.020313,2.862201,2,2,1,0.326667,0.318333,0.36,0.262222,0.24,0.497778,true,6,2,2,0.333333,1.871802,0.234043,true,0.28,0.042667,1.666667,0.368,-1.060391,0.325714,0.28,0.242667,4,0.661538,1.110882,0.325714,0,0,1,raise
0,0,1,flop,11,7,340,69,1.94591,0.020173,3.433987,2,2,1,0.3136,0.3056,0.3856,0.236,0.216,0.548,true,8,3,3,0.375,2.564949,0.324324,true,0.28,0.042667,1.75,0.392308,-0.964569,0.325714,0.28,0.242667,4.142857,0.674074,1.017387,0.325714,0,0,1,raise
0,0,1,flop,11,9,370,55,2.197225,0.023747,3.850147,2,2,1,0.301538,0.293846,0.409231,0.214545,0.196364,0.589091,true,10,4,4,0.4,2.995732,0.358491,true,0.28,0.042667,1.833333,0.414815,-0.880131,0.325714,0.28,0.242667,4.285714,0.685714,0.94549,0.325714,0,0,1,raise
0,0,1,turn,11,1,398.5,37,0.405465,0.00375,0.405465,2,2,1,0.29037,0.282963,0.431111,0.265,0.435,0.3,false,12,5,0,0.416667,3.367296,0.440945,true,0.28,0.042667,1.916667,0.435714,-0.792087,0.325714,0.28,0.242667,3.875,0.673333,0.802073,0.325714,0,1,0,call
0,0,1,river,11,1,401,35.5,0,0.002488,0,2,2,1,0.28,0.308571,0.415714,0.32,0.342857,0.337143,false,13,5,0,0.384615,3.367296,0.434109,false,0.28,0.042667,1.769231,0.42069,-0.802898,0.325714,0.28,0.242667,4,0.683871,0.809165,0.325714,0,1,0,call
0,0,1,flop,14,1,410,99,1.098612,0.007264,1.098612,2,2,1,0.285161,0.343226,0.375484,0.196667,0.18,0.623333,false,1,0,0,0,0,0,false,0.288889,0.035556,1.533333,0.38125,-0.813593,0.285,0.233333,0.202222,4.125,0.672727,0.830145,0.285,1,0,0,fold
0,0,1,flop,16,1,449.5,82,0.693147,0.00443,0.693147,2,2,1,0.289412,0.371765,0.342353,0.258462,0.166154,0.575385,false,2,0,0,0,0,0,false,0.31,0.032,1.352941,0.348571,-0.930588,0.253333,0.26,0.232,4.375,0.672222,0.953678,0.253333,0,0,1,raise
0,0,1,flop,16,3,458.5,78,1.098612,0.006501,1.94591,2,2,1,0.281143,0.361143,0.361143,0.24,0.154286,0.605714,true,4,1,1,0.25,1.098612,0.083333,true,0.31,0.032,1.411765,0.366667,-0.911629,0.253333,0.26,0.232,4.5,0.681081,0.940608,0.253333,0,1,0,call
0,0,1,turn,16,1,469,75,2.014903,0.01574,2.014903,2,2,1,0.273333,0.378889,0.351111,0.235556,0.497778,0.266667,false,5,1,0,0.2,1.098612,0.063492,false,0.31,0.032,1.333333,0.356757,-0.930148,0.253333,0.26,0.232,4.625,0.689474,0.984668,0.253333,0,1,0,call
0,0,1,river,16,2,546,65.5,4.18205,0.107114,4.212128,2,2,1,0.265946,0.395676,0.341622,0.28,0.425,0.295,true,7,2,1,0.285714,1.609438,0.040404,true,0.31,0.032,1.315789,0.364103,-0.944462,0.253333,0.26,0.232,4.75,0.697436,1.273861,0.253333,1,0,0,fold
0,0,1,flop,21,1,559.5,99,1.704748,0.009735,1.704748,2,2,1,0.321,0.366,0.316,0.224,0.210667,0.565333,false,1,0,0,0,0,0,false,0.248,0.0256,1.315789,0.338095,-0.944462,0.228,0.248,0.1856,4.333333,0.655814,1.289131,0.228,0,0,1,raise
0,0,1,flop,21,3,582.5,88,1.871802,0.011036,2.862201,2,2,1,0.313171,0.357073,0.332683,0.21,0.1975,0.5925,true,3,1,1,0.333333,1.871802,0.314286,true,0.248,0.0256,1.368421,0.353488,-0.896655,0.228,0.248,0.1856,4.444445,0.663636,1.236984,0.228,0,0,1,raise
0,0,1,turn,21,1,603.5,75,0.405465,0.002479,0.405465,2,2,1,0.305714,0.348571,0.348571,0.212,0.548,0.24,false,5,2,0,0.4,2.564949,0.470588,true,0.248,0.0256,1.421053,0.368182,-0.846388,0.228,0.248,0.1856,4.1,0.656522,1.157632,0.228,0,0,1,raise
0,0,1,turn,21,3,612,71.5,1.098612,0.004878,1.871802,2,2,1,0.298605,0.340465,0.363721,0.192727,0.498182,0.309091,true,7,3,1,0.428571,2.70805,0.459016,true,0.248,0.0256,1.473684,0.382222,-0.829392,0.228,0.248,0.1856,4.2,0.66383,1.144574,0.228,0,0,1,raise
0,0,1,turn,21,5,624.5,65.5,1.252763,0.005573,2.564949,2,2,1,0.291818,0.332727,0.378182,0.176667,0.456667,0.366667,true,9,4,2,0.444444,2.890372,0.459459,true,0.248,0.0256,1.526316,0.395652,-0.808932,0.228,0.248,0.1856,4.3,0.670833,1.122005,0.228,0,0,1,raise
0,0,1,river,21,1,646.5,58.5,2.442347,0.017477,2.442347,2,2,1,0.285333,0.325333,0.392,0.36,0.377778,0.262222,false,11,5,0,0.454545,3.068053,0.394231,true,0.248,0.0256,1.578947,0.408511,-0.786365,0.228,0.248,0.1856,4,0.664,1.124782,0.228,0,0,1,raise
0,0,1,flop,22,1,704.5,99,3.068053,0.029614,3.068053,2,2,1,0.273191,0.332766,0.396596,0.197647,0.185882,0.616471,false,1,0,0,0,0,0,false,0.276923,0.024615,1.55,0.412245,-0.723149,0.207273,0.238462,0.178462,3.75,0.657692,1.078307,0.207273,1,0,0,fold
