@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,2,false,0,3,99.5,-0.693147,0.142857,0,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,0,0,0,0,0,false,0.2,0.106667,2.4,0.24,0.182322,0.57,0.2,0.106667,2.4,0.2,0.182322,0.57,1,0,0,fold
0,0,1,3,true,1,34,99,3.367296,0.460317,3.401197,2,2,1,0.768,0.128,0.128,0.768,0.112,0.12,true,1,0,0,0,0,false,0.171429,0.091429,2.4,0.2,0.182322,0.57,0.314286,0.234286,2.6,0.314286,1.8506,0.57,0,1,0,call
0,0,2,4,false,0,113.5,99.5,-0.693147,0.004386,0,2,2,1,0.349091,0.421818,0.24,0.64,0.26,0.1,true,0,0,0,0,0,false,0.275,0.08,1.555556,0.266667,-1.637609,0.456,0.275,0.205,3.6,0.6,1.704748,0.456,1,0,0,fold
0,0,2,6,false,0,116.5,99.5,-0.693147,0.004274,0,2,2,1,0.403333,0.386667,0.22,0.691429,0.222857,0.085714,true,0,0,0,0,0,false,0.22,0.064,1.555556,0.246154,-1.637609,0.456,0.22,0.164,3.6,0.553846,1.704748,0.456,1,0,0,fold
0,0,1,7,true,1,121.5,99,1.098612,0.024096,1.386294,2,2,1,0.449231,0.356923,0.203077,0.73,0.195,0.075,true,1,0,0,0,0,false,0.2,0.058182,1.555556,0.228571,-1.637609,0.456,0.290909,0.24,3.8,0.585714,1.709068,0.456,0,1,0,call
0,0,2,8,false,0,268,99.5,-0.693147,0.001862,0,2,2,1,0.307368,0.349474,0.349474,0.648889,0.284444,0.066667,true,0,0,0,0,0,false,0.266667,0.053333,1.636364,0.36,-1.103432,0.38,0.266667,0.22,3.428571,0.628571,1.113001,0.38,1,0,0,fold
0,0,2,10,false,0,271,99.5,-0.693147,0.001842,0,2,2,1,0.342,0.332,0.332,0.684,0.256,0.06,true,0,0,0,0,0,false,0.228571,0.045714,1.636364,0.342857,-1.103432,0.38,0.228571,0.188571,3.428571,0.6,1.113001,0.38,1,0,0,fold
0,0,1,11,true,1,279,99,1.791759,0.021053,1.94591,2,2,1,0.373333,0.31619,0.31619,0.712727,0.232727,0.054545,true,1,0,0,0,0,false,0.213333,0.042667,1.636364,0.327273,-1.103432,0.38,0.28,0.242667,3.571429,0.617391,1.154182,0.38,0,1,0,call
0,0,2,12,false,0,403.5,99.5,-0.693147,0.001238,0,2,2,1,0.270345,0.332414,0.401379,0.653333,0.296667,0.05,true,0,0,0,0,0,false,0.2625,0.04,1.642857,0.406667,-0.810041,0.325714,0.2625,0.2275,4,0.683871,0.809165,0.325714,1,0,0,fold
0,0,2,14,false,0,406.5,99.5,-0.693147,0.001229,0,2,2,1,0.294667,0.321333,0.388,0.68,0.273846,0.046154,true,0,0,0,0,0,false,0.233333,0.035556,1.642857,0.393548,-0.810041,0.325714,0.233333,0.202222,4,0.6625,0.809165,0.325714,0,1,0,call
