@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
3,112,4.718499,45.5,3.839452,2,2,1,0.34,0.349091,0.421818,0.24,8,2,0,2,1,1,0,53.5,4.5,0,4.5,2.5,2,0,14,0,0,0,0,0,0,39.5,4.5,0,4.5,2.5,2,0,0.25,0,0.285714,0.333333,0.333333,0,0.084112,0,0.183673,0.3125,0.285714,0,1,7,3,3,1,29,24.5,8,7,9.5,false,0.314286,0.091429,1.555556,0.266667,-1.637609,0.456,0.314286,0.234286,3.6,0.6,1.704748,0.456,0,0,0,0,1,0,4
7,266.5,5.585374,25,3.258096,2,2,1,0.34,0.307368,0.349474,0.349474,10,4,0,4,1,1,2,74,24,0,24,2,16.5,5.5,21,0,0,0,0,0,0,53,24,0,24,2,16.5,5.5,0.4,0,0.444444,0.5,0.333333,0.5,0.324324,0,0.338028,0.5,0.294643,0.5,1,9,2,3,4,3,71,4,56,11,true,0.290909,0.058182,1.636364,0.36,-1.103432,0.38,0.290909,0.24,3.428571,0.628571,1.113001,0.38,0,0,0,1,0,0,3
11,402,5.996452,34.5,3.569533,2,2,1,0.34,0.270345,0.332414,0.401379,13,5,0,5,5,0,0,64.5,28,0,28,28,0,0,5,0,0,0,0,0,0,59.5,28,0,28,28,0,0,0.384615,0,0.416667,0.5,0,0,0.434109,0,0.478632,0.5,0,0,1,12,10,1,1,6,58.5,56,1.5,1,false,0.28,0.042667,1.642857,0.406667,-0.810041,0.325714,0.28,0.242667,4,0.683871,0.809165,0.325714,0,0,0,0,1,0,4
21,681,6.523562,35.5,3.597312,2,2,1,0.472,0.27913,0.318261,0.405217,12,6,0,6,2,3,1,63.5,32,0,32,12,8.5,11.5,18.5,0,0,0,0,0,0,45,32,0,32,12,8.5,11.5,0.5,0,0.5,0.5,0.5,0.5,0.503937,0,0.503937,0.5,0.515152,0.5,0,12,4,6,2,0,63.5,24,16.5,23,true,0.248,0.0256,1.631579,0.420833,-0.720683,0.228,0.248,0.1856,3.666667,0.65098,1.001961,0.228,0,0,0,0,0,0,0
42,940.5,6.846412,5.5,1.871802,2,2,1,0.67,0.36,0.313623,0.328116,12,6,0,6,0,3,3,93.5,47,0,47,0,37,10,7.5,4,0,4,0,2,2,86,43,0,43,0,35,8,0.5,0,0.545455,0,0.6,0.6,0.502674,0,0.516484,0,0.513889,0.555556,1,11,1,5,5,2.5,91,1,72,18,true,0.221739,0.013913,1.461538,0.367568,-0.550309,0.162857,0.243478,0.209565,4,0.619178,0.863574,0.162857,0,0,0,0,0,1,5
82,1070,6.975414,86,4.465908,2,2,1,0.76,0.473663,0.273663,0.253861,7,4,0,4,2,1,1,13,7,0,7,3,2,2,5,5,0,5,1,2,2,8,2,0,2,2,0,0,0.571429,0,0.571429,0.5,0.5,1,0.538462,0,0.538462,0.428571,0.5,1,0,7,4,2,1,0,13,7,4,2,true,0.165116,0.030698,1.375,0.304587,-0.540603,0.134118,0.2,0.18186,4.533333,0.560784,0.895251,0.134118,0,0,0,1,0,0,3
88,1119.5,7.020638,79,4.382027,2,2,1,0.811429,0.461481,0.274444,0.265185,10,6,0,6,2,2,2,20,12,0,12,2,5,5,5,5,0,5,1,2,2,15,7,0,7,1,3,3,0.6,0,0.6,0.5,0.666667,0.666667,0.6,0,0.6,0.5,0.625,0.625,0,10,4,3,3,0,20,4,8,8,true,0.165217,0.028696,1.470588,0.329412,-0.497604,0.126667,0.186957,0.17,4.235294,0.551351,0.842679,0.126667,0,0,0,0,0,0,0
118,1818.5,7.505767,33,3.526361,2,2,1,0.853333,0.434286,0.317279,0.249252,12,6,0,6,2,2,2,66,12.5,0,12.5,3,4.5,5,21,5,0,5,1,2,2,45,7.5,0,7.5,2,2.5,3,0.5,0,0.545455,0.5,0.5,0.666667,0.189394,0,0.25,0.1,0.375,0.625,1,11,4,4,3,16,50,30,12,8,true,0.190164,0.054426,1.215686,0.316049,-1.089635,0.095,0.206557,0.19377,5.333333,0.571812,1.352757,0.095,0,0,0,0,1,0,4
160,2255.5,7.721127,0,0,2,2,1,0.874286,0.485622,0.300757,0.21427,8,3,0,3,1,1,1,99,5,0,5,1,2,2,7,4,0,4,0,2,2,92,1,0,1,1,0,0,0.375,0,0.428571,0.333333,0.5,0.5,0.050505,0,0.051546,0.153846,0.190476,0.025,1,7,3,2,2,2,97,6.5,10.5,80,false,0.178049,0.052683,1.133333,0.281773,-1.214203,0.078621,0.220732,0.199024,5.65,0.55847,1.597365,0.078621,0,0,0,0,1,0,4
201,2633,7.875879,58,4.077538,2,2,1,0.885217,0.519817,0.299726,0.181005,4,0,0,0,0,0,0,41,0,0,0,0,0,0,31.5,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,9.5,31.5,3,27,1.5,false,0.166829,0.042146,1,0.247699,-1.314812,0.067059,0.21561,0.198244,6.35,0.54554,1.788478,0.067059,0,0,0,0.25,0.75,0,4
