@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,flop,1,false,0,4,98,2,2,1,0.34,0.38,1,0,0,0,0,false,0.44,0.128,1.714286,0.171429,-0.080043,0.456,0.44,0.328,2.6,0.366667,0.336472,0.456,1,bet
0,0,2,turn,1,false,0,24,88,2,2,1,0.472,0.36,4,2,0.5,1.871802,0.5,true,0.44,0.128,2,0.355556,0.044452,0.456,0.44,0.328,2.333333,0.4,0.090972,0.456,1,bet
0,0,2,turn,15,false,0,735.5,91,2,2,1,0.56,0.488,2,0,0,0,0,false,0.326316,0.033684,0.944444,0.221429,-2.323419,0.253333,0.326316,0.296842,4.166667,0.568,2.627511,0.253333,1,bet
0,0,2,flop,29,false,0,872.5,99,2,2,1,0.622857,0.504,0,0,0,0,0,false,0.248485,0.019394,0.9,0.184615,-2.259027,0.207273,0.218182,0.201212,4.666667,0.505882,2.792873,0.207273,1,bet
0,0,2,flop,37,false,0,908.5,99,2,2,1,0.67,0.586667,0,0,0,0,0,false,0.22439,0.01561,0.863636,0.178261,-2.23189,0.19,0.17561,0.161951,5,0.48,2.800952,0.19,1,bet
0,0,2,flop,47,false,0,1073,62.5,2,2,1,0.706667,0.645714,1,0,0,0,0,false,0.219608,0.012549,0.84,0.175862,-2.241608,0.152,0.219608,0.18902,5.142857,0.504,2.844586,0.152,1,bet
0,0,2,river,51,false,0,1141.5,99,2,2,1,0.736,0.35,0,0,0,0,0,false,0.221818,0.011636,0.821429,0.187692,-2.197225,0.1425,0.221818,0.193455,5,0.521429,2.81972,0.1425,1,bet
0,0,2,flop,63,false,0,1259,63,2,2,1,0.76,0.69,2,1,0.5,0.693147,0.027778,false,0.21194,0.039403,0.896552,0.205405,-2.197225,0.134118,0.21194,0.188657,5.25,0.48,2.866373,0.134118,1,bet
0,0,2,turn,63,false,0,1265,60,2,2,1,0.78,0.573333,4,2,0.5,1.098612,0.051282,false,0.21194,0.039403,0.9,0.213158,-2.179183,0.134118,0.21194,0.188657,5.375,0.487879,2.845048,0.134118,1,bet
0,0,2,river,63,false,0,1363,11,2,2,1,0.796923,0.48,12,6,0.5,3.218876,0.272727,false,0.21194,0.039403,1,0.249383,-1.837759,0.134118,0.21194,0.188657,5.875,0.517143,2.460523,0.134118,1,bet
0,0,2,flop,119,false,0,2045.5,99,2,2,1,0.811429,0.724444,0,0,0,0,0,false,0.188618,0.053984,1.102564,0.249612,-1.498975,0.103636,0.180488,0.167805,6.6,0.475862,2.124893,0.103636,1,bet
0,0,2,flop,131,false,0,2285.5,99,2,2,1,0.824,0.752,0,0,0,0,0,false,0.186667,0.049185,1.023256,0.235461,-1.648076,0.095,0.186667,0.175111,7.1,0.4816,2.221521,0.095,1,bet
0,0,2,flop,153,false,0,2448,99,2,2,1,0.835,0.774545,0,0,0,0,0,false,0.185987,0.042293,0.938776,0.215951,-1.625141,0.087692,0.198726,0.18879,8.1,0.490909,2.238096,0.087692,1,bet
0,0,2,flop,165,false,0,2572,99,2,2,1,0.844706,0.793333,0,0,0,0,0,false,0.184615,0.03929,0.903846,0.208046,-1.670399,0.081429,0.19645,0.187219,8.5,0.488158,2.281704,0.081429,1,bet
0,0,2,flop,175,false,0,2611,99,2,2,1,0.853333,0.809231,0,0,0,0,0,false,0.185475,0.037095,0.888889,0.204396,-1.664624,0.076,0.191061,0.182346,8.7,0.479245,2.294093,0.076,1,bet
0,0,2,flop,187,false,0,2742.5,89.5,2,2,1,0.861053,0.822857,1,0,0,0,0,false,0.189529,0.04,0.894737,0.206154,-1.626623,0.07125,0.194764,0.186597,8.454545,0.480702,2.285895,0.07125,1,bet
0,0,2,turn,187,false,0,2780.5,70.5,2,2,1,0.868,0.634286,5,2,0.4,2.014903,0.22807,false,0.189529,0.04,0.913793,0.213131,-1.600452,0.07125,0.194764,0.186597,8.636364,0.486705,2.250771,0.07125,1,bet
0,0,2,flop,197,false,0,3135.5,99,2,2,1,0.874286,0.834667,0,0,0,0,0,false,0.19005,0.03801,0.901639,0.213527,-1.506297,0.067059,0.19005,0.182289,8.166667,0.481768,2.079761,0.067059,1,bet
0,0,2,turn,197,false,0,3139.5,97,2,2,1,0.88,0.68,2,1,0.5,0.693147,0.5,false,0.19005,0.03801,0.903226,0.216268,-1.502418,0.067059,0.19005,0.182289,8.25,0.484615,2.075298,0.067059,1,bet
0,0,2,river,233,false,0,3542.5,81,2,2,1,0.885217,0.566667,3,0,0,0,0,false,0.186498,0.032236,0.84,0.209639,-1.335001,0.058462,0.190717,0.184135,7.5,0.496364,1.854395,0.058462,1,bet
0,0,2,turn,237,false,0,3586,86.5,2,2,1,0.89,0.715556,2,0,0,0,0,false,0.187552,0.031701,0.810127,0.208627,-1.344223,0.057,0.191701,0.185228,7.6875,0.498667,1.856593,0.057,1,bet
0,0,2,flop,261,false,0,3929,99,2,2,1,0.8944,0.845,0,0,0,0,0,false,0.18566,0.032604,0.788235,0.202158,-1.421448,0.054286,0.196981,0.191094,8.3125,0.502881,1.910079,0.054286,1,bet
0,0,2,turn,261,false,0,3943,92,2,2,1,0.898462,0.744,3,2,0.666667,1.609438,0.571429,true,0.18566,0.032604,0.811765,0.207857,-1.40968,0.054286,0.196981,0.191094,7.882353,0.502857,1.897299,0.054286,1,bet
0,0,2,river,261,false,0,4079,24,2,2,1,0.902222,0.628571,8,5,0.625,3.688879,0.52,true,0.18566,0.032604,0.847059,0.216254,-1.320273,0.054286,0.196981,0.191094,7.555555,0.504839,1.797037,0.054286,1,bet
0,0,2,flop,263,false,0,4096.5,99,2,2,1,0.905714,0.854118,0,0,0,0,0,false,0.188015,0.03236,0.860465,0.220979,-1.308629,0.053023,0.195506,0.189663,7.210526,0.502789,1.784167,0.053023,1,bet
0,0,2,turn,277,false,0,4354,88,2,2,1,0.908966,0.767273,3,1,0.333333,1.098612,0.181818,false,0.182206,0.030747,0.865169,0.220667,-1.374707,0.051818,0.192883,0.187331,7.526316,0.50458,1.823165,0.051818,1,bet
0,0,2,flop,323,false,0,4716.5,97.5,2,2,1,0.912,0.862222,1,0,0,0,0,false,0.171865,0.032538,0.851064,0.204734,-1.367144,0.048511,0.202446,0.194618,7.85,0.498976,1.93187,0.048511,1,bet
