@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,1,2,10.5,97,1.504077,0.3,1.704748,2,2,1,0.473333,0.44,0.106667,0.59,0.29,0.12,true,3,1,1,0.333333,0.693147,0.153846,true,0.44,0.128,1.857143,0.275,0.074108,0.456,0.44,0.328,2.8,0.457143,0.650588,0.456,0,0,1,raise
0,0,1,turn,1,2,33,86,1.609438,0.131579,1.94591,2,2,1,0.405714,0.377143,0.234286,0.53,0.37,0.1,true,6,3,1,0.5,2.140066,0.416667,true,0.44,0.128,2.142857,0.42,0.204794,0.456,0.44,0.328,2.5,0.466667,0.277632,0.456,0,0,1,raise
0,0,1,turn,1,4,124,76,4.330733,0.38,4.477337,2,2,1,0.355,0.33,0.33,0.424,0.296,0.28,true,8,4,2,0.5,2.60269,0.126263,true,0.44,0.128,2.285714,0.472727,0.145182,0.456,0.44,0.328,2.666667,0.52,1.665008,0.456,0,1,0,call
0,0,1,flop,5,1,307,97.5,4.579853,0.241038,4.579853,2,2,1,0.32,0.47,0.22,0.472,0.232,0.296,false,2,0,0,0,0,0,false,0.355556,0.071111,1.6,0.346667,-1.625524,0.38,0.355556,0.293333,3,0.514286,2.392687,0.38,1,0,0,fold
0,0,1,flop,12,1,522.5,97,0.693147,0.003813,0.693147,2,2,1,0.38,0.48,0.146667,0.56,0.193333,0.246667,false,2,0,0,0,0,0,false,0.325,0.04,1.230769,0.247619,-2.35779,0.285,0.325,0.29,3.5,0.51,2.794907,0.285,0,1,0,call
0,0,1,turn,12,1,534.5,95,2.302585,0.018365,2.302585,2,2,1,0.36,0.507368,0.138947,0.353333,0.413333,0.233333,false,3,0,0,0,0,0,false,0.325,0.04,1.142857,0.236364,-2.367968,0.285,0.325,0.29,3.666667,0.533333,2.828299,0.285,0,0,1,raise
0,0,1,turn,12,3,639.5,75,4.317488,0.104969,4.553877,2,2,1,0.342,0.482,0.182,0.302857,0.354286,0.342857,true,5,1,1,0.2,2.397895,0.10101,true,0.325,0.04,1.214286,0.269565,-1.985227,0.285,0.325,0.29,3.833333,0.554545,2.60665,0.285,0,1,0,call
0,0,1,flop,15,1,733,93.5,0.916291,0.003399,0.916291,2,2,1,0.326667,0.526667,0.151667,0.48,0.308571,0.211429,false,2,0,0,0,0,0,false,0.326316,0.033684,1,0.22963,-2.314791,0.253333,0.326316,0.296842,4.166667,0.568,2.627511,0.253333,0,1,0,call
0,0,1,turn,15,2,828.5,89,4.488636,0.097003,4.510859,2,2,1,0.3136,0.5456,0.1456,0.265,0.435,0.3,true,4,1,1,0.25,1.098612,0.020202,true,0.326316,0.033684,1,0.248276,-2.255597,0.253333,0.326316,0.296842,4.333333,0.584615,2.76527,0.253333,1,0,0,fold
0,0,1,flop,23,1,863,99,0,0.001157,0,2,2,1,0.414194,0.472258,0.117419,0.42,0.395,0.185,false,1,0,0,0,0,0,false,0.266667,0.023704,0.947368,0.205714,-2.257313,0.228,0.266667,0.245926,4.666667,0.554839,2.792873,0.228,1,0,0,fold
0,0,1,flop,29,2,875.5,98,0,0.001141,0.693147,2,2,1,0.452571,0.446857,0.104,0.484444,0.351111,0.164444,true,2,1,1,0.5,0.693147,0.5,true,0.248485,0.019394,0.95,0.205,-2.226766,0.207273,0.218182,0.201212,4.833333,0.52,2.762619,0.207273,0,1,0,call
0,0,1,turn,29,1,896,97,2.970414,0.0213,2.970414,2,2,1,0.44,0.462222,0.101111,0.346667,0.386667,0.266667,false,3,1,0,0.333333,0.693147,0.046512,false,0.248485,0.019394,0.904762,0.2,-2.230185,0.207273,0.218182,0.201212,5,0.533333,2.800952,0.207273,1,0,0,fold
0,0,1,flop,39,1,923.5,99,2.351375,0.011242,2.351375,2,2,1,0.472381,0.44381,0.086667,0.436,0.416,0.148,false,1,0,0,0,0,0,false,0.237209,0.014884,0.869565,0.191667,-2.20234,0.175385,0.167442,0.154419,5.166667,0.469767,2.821001,0.175385,1,0,0,fold
0,0,1,flop,42,1,931.5,99,1.098612,0.00321,1.098612,2,2,1,0.496364,0.423636,0.082727,0.487273,0.378182,0.134545,false,1,0,0,0,0,0,false,0.221739,0.013913,0.869565,0.184,-2.20234,0.162857,0.178261,0.144348,4.571429,0.46087,2.810908,0.162857,0,0,1,raise
0,0,1,flop,42,3,974.5,93,3.526361,0.033713,3.688879,2,2,1,0.485333,0.414222,0.103111,0.446667,0.346667,0.206667,true,3,1,1,0.333333,1.386294,0.075,true,0.221739,0.013913,0.913043,0.2,-2.124199,0.162857,0.178261,0.144348,4.714286,0.47234,2.783246,0.162857,1,0,0,fold
0,0,1,flop,47,2,1076.5,61.5,0.405465,0.001391,0.916291,2,2,1,0.516154,0.396923,0.089231,0.489231,0.32,0.190769,true,3,1,1,0.333333,0.693147,0.025641,true,0.219608,0.012549,0.88,0.189831,-2.213829,0.152,0.219608,0.18902,5.285714,0.513726,2.819608,0.152,0,1,0,call
0,0,1,turn,47,1,1079,60,0,0.000926,0,2,2,1,0.506415,0.408302,0.087547,0.412,0.348,0.24,false,4,1,0,0.25,0.693147,0.025,false,0.219608,0.012549,0.846154,0.186667,-2.21831,0.152,0.219608,0.18902,5.428571,0.523077,2.821218,0.152,0,0,1,raise
0,0,1,river,47,1,1093.5,57,2.251292,0.008613,2.251292,2,2,1,0.497037,0.400741,0.104444,0.56,0.35,0.09,false,6,2,0,0.333333,1.386294,0.058252,true,0.219608,0.012549,0.884615,0.2,-2.16794,0.152,0.219608,0.18902,4.875,0.522222,2.783744,0.152,0,1,0,call
0,0,1,flop,63,2,1263,62,0.693147,0.001581,1.098612,2,2,1,0.512727,0.373333,0.115758,0.454286,0.368571,0.177143,true,4,2,1,0.5,1.098612,0.051282,true,0.21194,0.039403,0.931035,0.216,-2.173968,0.134118,0.21194,0.188657,5.375,0.487879,2.845048,0.134118,0,1,0,call
0,0,1,turn,63,2,1275,58,1.791759,0.004684,2.079442,2,2,1,0.505075,0.382687,0.11403,0.374545,0.316364,0.309091,true,6,3,1,0.5,1.609438,0.085106,true,0.21194,0.039403,0.933333,0.223377,-2.134232,0.134118,0.21194,0.188657,5.5,0.495522,2.806798,0.134118,0,0,1,raise
0,0,1,turn,63,4,1300,46,1.94591,0.005356,3.044523,2,2,1,0.497647,0.377059,0.127059,0.343333,0.29,0.366667,true,8,4,2,0.5,2.397895,0.166667,true,0.21194,0.039403,0.966667,0.233333,-2.025846,0.134118,0.21194,0.188657,5.625,0.502941,2.688528,0.134118,0,0,1,raise
0,0,1,turn,63,6,1328,32,1.94591,0.005243,3.555348,2,2,1,0.490435,0.371594,0.13971,0.316923,0.267692,0.415385,true,10,5,3,0.5,2.890372,0.22973,true,0.21194,0.039403,1,0.243038,-1.916168,0.134118,0.21194,0.188657,5.75,0.510145,2.566972,0.134118,0,0,1,raise
0,0,1,turn,63,8,1356,18,1.94591,0.005136,3.89182,2,2,1,0.483429,0.366286,0.152,0.294286,0.248571,0.457143,true,12,6,4,0.5,3.218876,0.272727,true,0.21194,0.039403,1.033333,0.2525,-1.820602,0.134118,0.21194,0.188657,5.875,0.517143,2.460523,0.134118,0,1,0,call
0,0,1,river,63,2,1369,9,0.693147,0.001459,1.386294,2,2,1,0.47662,0.375211,0.149859,0.448,0.48,0.072,true,14,7,1,0.5,3.295837,0.282609,true,0.21194,0.039403,1.032258,0.258537,-1.807681,0.134118,0.21194,0.188657,6,0.523944,2.432416,0.134118,0,0,1,raise
0,0,1,flop,78,1,1518.5,91,4.394449,0.050641,4.394449,2,2,1,0.504198,0.341235,0.156049,0.424,0.410667,0.165333,false,2,0,0,0,0,0,false,0.197561,0.04439,1.0625,0.252174,-1.789393,0.126667,0.197561,0.178537,5.666667,0.490244,2.517348,0.126667,0,0,1,raise
0,0,1,flop,88,1,1655.5,97,2.80336,0.009868,2.80336,2,2,1,0.520909,0.325455,0.155,0.3975,0.385,0.2175,false,2,0,0,0,0,0,false,0.186957,0.039565,1.060606,0.244444,-1.836301,0.12,0.186957,0.17,5.3,0.474157,2.397895,0.12,0,0,1,raise
0,0,1,flop,88,3,1724,64,2.944439,0.010901,3.951244,2,2,1,0.515056,0.321798,0.164494,0.374118,0.362353,0.263529,true,4,1,1,0.25,2.862201,0.305556,true,0.186957,0.039565,1.090909,0.252,-1.681998,0.12,0.186957,0.17,5.4,0.48,2.23174,0.12,0,0,1,raise
0,0,1,flop,88,5,1800,26,2.944439,0.010445,4.49981,2,2,1,0.509333,0.318222,0.173778,0.353333,0.342222,0.304444,true,6,2,2,0.333333,3.597312,0.38587,true,0.186957,0.039565,1.121212,0.259406,-1.538904,0.12,0.186957,0.17,5.5,0.485714,2.072927,0.12,0,1,0,call
0,0,1,turn,88,1,1820,7,0,0.000549,0,2,2,1,0.503736,0.325714,0.171868,0.274667,0.298667,0.426667,false,7,2,0,0.285714,3.597312,0.38172,false,0.186957,0.039565,1.088235,0.256863,-1.573453,0.12,0.186957,0.17,5.6,0.491304,2.074016,0.12,0,0,1,raise
0,0,1,turn,88,3,1827,4,0.693147,0.001093,1.609438,2,2,1,0.498261,0.322174,0.18087,0.2575,0.28,0.4625,true,9,3,1,0.333333,3.650658,0.386598,true,0.186957,0.039565,1.117647,0.264078,-1.558145,0.12,0.186957,0.17,5.7,0.496774,2.059022,0.12,0,1,0,call
0,0,1,river,88,1,1831,2,0.693147,0.001091,0.693147,2,2,1,0.492903,0.329462,0.178925,0.373333,0.4,0.226667,false,10,3,0,0.3,3.650658,0.378788,false,0.186957,0.039565,1.085714,0.261538,-1.561707,0.12,0.186957,0.17,5.8,0.502128,2.061191,0.12,0,1,0,call
0,0,1,flop,94,1,1879.5,89.5,1.386294,0.002124,1.386294,2,2,1,0.5084,0.3264,0.1664,0.334737,0.376842,0.288421,false,2,0,0,0,0,0,false,0.185714,0.037143,1.027027,0.245045,-1.581945,0.114,0.206122,0.190204,6.2,0.522449,2.076812,0.114,0,0,1,raise
0,0,1,flop,94,3,1973,81.5,4.400603,0.039669,4.494239,2,2,1,0.503366,0.323168,0.174653,0.318,0.358,0.324,true,4,1,1,0.25,1.609438,0.040404,true,0.185714,0.037143,1.054054,0.251786,-1.555553,0.114,0.206122,0.190204,6.3,0.527273,2.1261,0.114,1,0,0,fold
0,0,1,flop,103,1,2003,99,1.791759,0.002987,1.791759,2,2,1,0.517037,0.311481,0.172593,0.350476,0.340952,0.308571,false,1,0,0,0,0,0,false,0.188785,0.043364,1.052632,0.245378,-1.549118,0.108571,0.198131,0.183551,6.5,0.51619,2.131012,0.108571,0,0,1,raise
0,0,1,flop,120,1,2079.5,91,2.70805,0.007162,2.70805,2,2,1,0.519664,0.299496,0.181849,0.334545,0.325455,0.34,false,2,0,0,0,0,0,false,0.195161,0.053548,1.1,0.253435,-1.504919,0.09913,0.187097,0.174516,6.8,0.480672,2.142641,0.09913,0,1,0,call
0,0,1,turn,120,1,2170.5,76,4.330733,0.03383,4.330733,2,2,1,0.515333,0.305333,0.180333,0.242353,0.322353,0.435294,false,3,0,0,0,0,0,false,0.195161,0.053548,1.073171,0.251515,-1.529837,0.09913,0.187097,0.174516,6.9,0.485,2.211291,0.09913,0,1,0,call
0,0,1,flop,140,1,2340,94.5,1.609438,0.002132,1.609438,2,2,1,0.546277,0.296642,0.157956,0.32,0.354783,0.325217,false,2,0,0,0,0,0,false,0.188889,0.046111,1,0.228,-1.647791,0.0912,0.202778,0.191944,7.6,0.490226,2.238047,0.0912,0,1,0,call
