@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,1,false,0,1.5,99.5,-0.693147,0.25,0,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,0,0,0,0,0,false,0.24,0.128,2.4,0.24,0.182322,0.57,0.24,0.128,2.4,0.24,0.182322,0.57,0,1,0,call
1,1,0,1,true,2,3,99,0,0.25,0.693147,2,2,1,0.568,0.328,0.128,0.568,0.312,0.12,true,1,0,0,0,0,false,0.44,0.128,2,0.2,0.087011,0.57,0.44,0.328,2.6,0.366667,0.336472,0.57,0,1,0,call
0,0,2,3,false,0,203,99.5,-0.693147,0.002457,0,2,2,1,0.315556,0.404444,0.293333,0.473333,0.426667,0.1,true,0,0,0,0,0,false,0.314286,0.091429,2,0.433333,-1.604018,0.456,0.314286,0.234286,2.666667,0.472727,1.665008,0.456,1,0,0,fold
0,0,2,5,false,0,206,99.5,-0.693147,0.002421,0,2,2,1,0.384,0.364,0.264,0.548571,0.365714,0.085714,true,0,0,0,0,0,false,0.244444,0.071111,2,0.4,-1.604018,0.456,0.244444,0.182222,2.666667,0.433333,1.665008,0.456,0,1,0,call
1,1,0,5,true,2,208,99,0.405465,0.00716,0.916291,2,2,1,0.349091,0.421818,0.24,0.48,0.445,0.075,true,1,0,0,0,0,false,0.355556,0.071111,1.777778,0.371429,-1.609438,0.456,0.355556,0.293333,2.833333,0.476923,1.681094,0.456,0,1,0,call
0,0,2,7,false,0,310,99.5,-0.693147,0.00161,0,2,2,1,0.372308,0.433846,0.203077,0.426667,0.506667,0.066667,true,0,0,0,0,0,false,0.290909,0.058182,1.6,0.325,-1.625524,0.38,0.290909,0.24,3,0.48,2.392687,0.38,0,1,0,call
1,1,0,7,true,2,409.5,99,4.59512,0.19469,4.60517,2,2,1,0.345714,0.474286,0.188571,0.384,0.556,0.06,true,1,0,0,0,0,false,0.381818,0.058182,1.454545,0.305882,-1.630829,0.38,0.381818,0.330909,3.166667,0.5125,2.809403,0.38,0,1,0,call
0,0,2,9,false,0,511.5,99.5,-0.693147,0.000977,0,2,2,1,0.322667,0.509333,0.176,0.349091,0.596364,0.054545,true,0,0,0,0,0,false,0.323077,0.049231,1.333333,0.288889,-2.347507,0.325714,0.323077,0.28,3.166667,0.482353,2.809403,0.325714,1,0,0,fold
0,0,2,11,false,0,514.5,99.5,-0.693147,0.000971,0,2,2,1,0.365,0.4775,0.165,0.403333,0.546667,0.05,true,0,0,0,0,0,false,0.28,0.042667,1.333333,0.273684,-2.347507,0.325714,0.28,0.242667,3.166667,0.455556,2.809403,0.325714,1,0,0,fold
0,0,1,12,true,1,518.5,99,0.693147,0.003842,1.098612,2,2,1,0.402353,0.449412,0.155294,0.449231,0.504615,0.046154,true,1,0,0,0,0,false,0.2625,0.04,1.333333,0.26,-2.347507,0.325714,0.325,0.29,3.333333,0.484211,2.788093,0.325714,0,1,0,call
