@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
63,1375,7.226209,5,1.791759,2,2,1,0.811429,0.47,0.37,0.161667,15,8,1,7,1,4,2,94,28,1,27,1,22,4,5,5,0,5,1,2,2,89,23,1,22,0,20,2,0.533333,0.5,0.538462,0.5,0.5,0.666667,0.297872,0.027778,0.465517,0.333333,0.44898,0.666667,2,13,2,8,3,36,58,3,49,6,true,0.21194,0.039403,1.064516,0.26747,-1.783331,0.134118,0.21194,0.188657,5.333333,0.516667,2.402564,0.134118,0,0,0,0,1,0,4
197,3178.5,8.064165,77.5,4.363099,2,2,1,0.885217,0.548394,0.303834,0.148394,8,4,0,4,1,2,1,21.5,9,0,9,1,6,2,4,3,0,3,1,2,0,17.5,6,0,6,0,4,2,0.5,0,0.5,0.5,0.5,0.5,0.418605,0,0.418605,0.5,0.363636,0.666667,0,8,2,4,2,0,21.5,2,16.5,3,true,0.19005,0.03801,0.936508,0.226291,-1.476043,0.067059,0.19005,0.182289,7.846154,0.490323,2.042712,0.067059,0,0,0,1,0,0,3
212,3461,8.149313,21.5,3.113515,2,2,1,0.885217,0.539155,0.308169,0.153239,6,2,0,2,0,1,1,77.5,37,0,37,0,23.5,13.5,39.5,0,0,0,0,0,0,38,37,0,37,0,23.5,13.5,0.333333,0,0.4,0,0.5,0.5,0.477419,0,0.48366,0,0.5,0.5,1,5,1,2,2,1,76.5,2.5,47,27,true,0.19537,0.03537,0.9,0.224034,-1.311896,0.061622,0.2,0.192778,7.1875,0.505825,1.840398,0.061622,0,0,0,0,1,0,4
233,3554.5,8.17597,75,4.330733,2,2,1,0.89,0.54713,0.311478,0.141913,5,1,0,1,0,0,1,24,2,0,2,0,0,2,20,2,0,2,0,0,2,4,0,0,0,0,0,0,0.2,0,0.25,0,0,0.5,0.083333,0,0.142857,0,0,0.333333,1,4,1,1,2,10,14,1,7,6,false,0.186498,0.032236,0.842105,0.211952,-1.331447,0.058462,0.190717,0.184135,7.5625,0.498643,1.849197,0.058462,0,0,0,1,0,0,3
237,3640,8.199739,59.5,4.102643,2,2,1,0.8944,0.53519,0.323376,0.141941,7,2,0,2,0,1,1,39.5,8,0,8,0,2,6,20.5,2,0,2,0,2,0,19,6,0,6,0,0,6,0.285714,0,0.333333,0,0.5,0.333333,0.202532,0,0.266667,0,0.235294,0.324324,1,6,1,2,3,9.5,30,3,8.5,18.5,false,0.187552,0.031701,0.814815,0.213127,-1.333085,0.057,0.191701,0.185228,7.875,0.505263,1.837988,0.057,0,0,0,1,0,0,3
261,4093,8.317034,17,2.890372,2,2,1,0.905714,0.541692,0.310154,0.148615,11,7,0,7,2,3,2,82,43.5,0,43.5,4,35,4.5,5,5,0,5,1,2,2,77,38.5,0,38.5,3,33,2.5,0.636364,0,0.636364,0.666667,0.6,0.666667,0.530488,0,0.530488,0.571429,0.514706,0.642857,0,11,3,5,3,0,82,7,68,7,true,0.18566,0.032604,0.870588,0.221754,-1.308206,0.054286,0.196981,0.191094,7.210526,0.5048,1.784167,0.054286,0,0,0,0,0,1,5
365,5046.5,8.52645,30.5,3.449988,2,2,1,0.922353,0.583837,0.286744,0.129767,7,2,0,2,0,2,0,68.5,4.5,0,4.5,0,4.5,0,54.5,2,0,2,0,2,0,14,2.5,0,2.5,0,2.5,0,0.285714,0,0.333333,0,0.5,0,0.065693,0,0.230769,0,0.28125,0,1,6,1,4,1,49,19.5,2.5,16,1,false,0.168564,0.031545,0.834951,0.200533,-1.38924,0.043846,0.195664,0.188726,8.45,0.486769,1.987874,0.043846,0,0,0,1,0,0,3
392,5260.5,8.567982,24,3.218876,2,2,1,0.924571,0.590845,0.279673,0.129809,9,3,0,3,0,2,1,75,8,0,8,0,6,2,6,0,0,0,0,0,0,69,8,0,8,0,6,2,0.333333,0,0.375,0,0.5,0.333333,0.106667,0,0.421053,0,0.5,0.4,1,8,1,4,3,56,19,2,12,5,false,0.162121,0.029394,0.841121,0.198496,-1.411477,0.042222,0.194949,0.188485,8.523809,0.486127,1.991717,0.042222,0,0,0,0,1,0,4
461,5588,8.628377,54.5,4.016383,2,2,1,0.930526,0.615735,0.257441,0.127109,10,5,0,5,2,1,2,44.5,21.5,0,21.5,15,2,4.5,12,4,0,4,0,2,2,32.5,17.5,0,17.5,15,0,2.5,0.5,0,0.555556,0.5,0.5,0.666667,0.483146,0,0.5,0.5,0.333333,0.642857,1,9,4,2,3,1.5,43,30,6,7,true,0.153118,0.031484,0.876106,0.192998,-1.359156,0.03931,0.196129,0.190624,8.652174,0.47888,1.966403,0.03931,0,0,0,0,0,1,5
466,5795,8.664751,36.5,3.624341,2,2,1,0.930526,0.608426,0.260741,0.131111,8,3,0,3,1,1,1,62.5,11.5,0,11.5,6,3.5,2,11,0,0,0,0,0,0,51.5,11.5,0,11.5,6,3.5,2,0.375,0,0.428571,0.333333,0.5,0.5,0.184,0,0.396552,0.324324,0.5,0.571429,1,7,3,2,2,33.5,29,18.5,7,3.5,true,0.155745,0.031149,0.871795,0.195289,-1.374866,0.038,0.200426,0.194979,8.28,0.485644,1.972698,0.038,0,0,0,0,0,1,5
