@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,flop,1,false,0,23,88.5,2,2,1,0.34,0.38,1,0,0,0,0,false,0.44,0.128,1.714286,0.171429,-0.980829,0.456,0.44,0.328,2.6,0.366667,1.193922,0.456,1,bet
0,0,2,turn,1,false,0,75,62.5,2,2,1,0.472,0.36,6,3,0.5,2.674149,0.369863,true,0.44,0.128,2.142857,0.42,-0.37949,0.456,0.44,0.328,2.5,0.466667,0.449525,0.456,1,bet
0,0,2,flop,7,false,0,181,98,2,2,1,0.56,0.504,1,0,0,0,0,false,0.381818,0.058182,1.666667,0.418182,-0.392042,0.325714,0.290909,0.24,3.833333,0.61,0.545822,0.325714,1,bet
0,0,2,flop,31,false,0,475,99,2,2,1,0.622857,0.586667,0,0,0,0,0,false,0.234286,0.018286,1.222222,0.254545,-1.187712,0.228,0.234286,0.218286,5.333333,0.557895,1.47042,0.228,1,bet
0,0,2,flop,47,false,0,529,96,2,2,1,0.67,0.645714,1,0,0,0,0,false,0.2,0.012549,1.095238,0.210345,-1.192326,0.207273,0.258824,0.247843,6.166667,0.534694,1.547782,0.207273,1,bet
0,0,2,turn,47,false,0,537,92,2,2,1,0.706667,0.488,3,1,0.333333,0.693147,0.142857,false,0.2,0.012549,1.090909,0.22,-1.19048,0.207273,0.258824,0.247843,6.333333,0.544,1.540445,0.207273,1,bet
0,0,2,turn,53,false,0,611.5,98,2,2,1,0.736,0.573333,1,1,1,0.693147,1,true,0.196491,0.028772,1.173913,0.241791,-1.013043,0.19,0.266667,0.239298,5.125,0.529825,1.366724,0.19,1,bet
0,0,2,flop,131,false,0,1545.5,98,2,2,1,0.76,0.69,1,0,0,0,0,false,0.179259,0.049185,0.97619,0.212676,-0.888639,0.12,0.223704,0.212148,7.6,0.51746,1.485689,0.12,1,bet
0,0,2,flop,153,false,0,1952,95.5,2,2,1,0.78,0.724444,1,0,0,0,0,false,0.173248,0.042293,0.86,0.195152,-1.004203,0.103636,0.224204,0.214268,8.7,0.525517,1.53126,0.103636,1,bet
0,0,2,flop,165,false,0,2004,99,2,2,1,0.796923,0.752,0,0,0,0,0,false,0.172781,0.03929,0.8,0.186517,-1.017449,0.0912,0.226036,0.210888,8.454545,0.526923,1.54835,0.0912,1,bet
0,0,2,flop,175,false,0,2024.5,97,2,2,1,0.811429,0.774545,1,0,0,0,0,false,0.168715,0.037095,0.789474,0.184865,-1.016934,0.087692,0.218994,0.204693,8.545455,0.510429,1.550597,0.087692,1,bet
0,0,2,turn,187,false,0,2093,84.5,2,2,1,0.824,0.634286,4,1,0.25,1.504077,0.241379,false,0.173822,0.04,0.790323,0.19196,-1.008785,0.081429,0.220942,0.207539,9.181818,0.509605,1.550519,0.081429,1,bet
0,0,2,turn,207,false,0,2316.5,73,2,2,1,0.835,0.68,2,0,0,0,0,false,0.176303,0.036209,0.72973,0.192,-1.059772,0.07125,0.218957,0.206825,8.923077,0.520792,1.556897,0.07125,1,bet
0,0,2,flop,217,false,0,2365,99,2,2,1,0.844706,0.793333,0,0,0,0,0,false,0.177376,0.03457,0.714286,0.188085,-1.065036,0.067059,0.213575,0.201991,9.230769,0.52,1.564901,0.067059,1,bet
0,0,2,flop,227,false,0,2396,99,2,2,1,0.853333,0.809231,0,0,0,0,0,false,0.174026,0.033074,0.717949,0.186777,-1.061143,0.065143,0.208658,0.197576,9.307693,0.510185,1.576181,0.065143,1,bet
0,0,2,turn,237,false,0,2531,73.5,2,2,1,0.861053,0.715556,4,1,0.25,2.197225,0.313725,false,0.175104,0.031701,0.702381,0.189764,-1.050473,0.061622,0.204149,0.193527,9.769231,0.509649,1.542148,0.061622,1,bet
0,0,2,turn,258,false,0,2800.5,25.5,2,2,1,0.868,0.744,7,3,0.428571,3.583519,0.47619,true,0.168702,0.032977,0.735632,0.194161,-0.971005,0.06,0.203053,0.193282,9.714286,0.508943,1.483879,0.06,1,bet
0,0,2,flop,261,false,0,2826.5,99,2,2,1,0.874286,0.822857,0,0,0,0,0,false,0.170566,0.032604,0.761364,0.201434,-0.953411,0.058462,0.200755,0.191094,8.625,0.506773,1.463406,0.058462,1,bet
0,0,2,flop,315,false,0,3374.5,99,2,2,1,0.88,0.834667,0,0,0,0,0,false,0.163636,0.033354,0.757895,0.188308,-0.977715,0.053023,0.204389,0.196364,9.176471,0.502422,1.603519,0.053023,1,bet
0,0,2,flop,323,false,0,3530.5,99,2,2,1,0.885217,0.845,0,0,0,0,0,false,0.165749,0.032538,0.777778,0.196439,-0.966256,0.050667,0.202446,0.194618,9.055555,0.505648,1.566,0.050667,1,bet
0,0,2,turn,363,false,0,3896.5,89,2,2,1,0.89,0.767273,2,0,0,0,0,false,0.161308,0.031717,0.761905,0.187534,-0.944218,0.046531,0.19673,0.189755,9.157895,0.494545,1.651877,0.046531,1,bet
