@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,1,2,29.5,87.5,1.504077,0.132353,1.704748,2,2,1,0.473333,0.44,0.106667,0.59,0.29,0.12,true,3,1,1,0.333333,0.693147,0.0625,true,0.44,0.128,1.857143,0.275,-0.826679,0.456,0.44,0.328,2.8,0.457143,1.252763,0.456,0,0,1,raise
0,0,1,flop,1,4,51,78.5,2.079442,0.135593,2.890372,2,2,1,0.405714,0.377143,0.234286,0.472,0.232,0.296,true,5,2,2,0.4,1.871802,0.192982,true,0.44,0.128,2,0.355556,-0.578078,0.456,0.44,0.328,3,0.525,1.015921,0.456,0,0,1,raise
0,0,1,turn,1,2,81,60.5,0.693147,0.024096,1.386294,2,2,1,0.355,0.33,0.33,0.53,0.37,0.1,true,8,4,1,0.5,2.80336,0.382716,true,0.44,0.128,2.285714,0.472727,-0.281851,0.456,0.44,0.328,2.666667,0.52,0.413562,0.456,0,0,1,raise
0,0,1,turn,1,4,90.5,56.5,1.252763,0.037234,2.251292,2,2,1,0.315556,0.293333,0.404444,0.424,0.296,0.28,true,10,5,2,0.5,2.917771,0.380435,true,0.44,0.128,2.428571,0.516667,-0.260726,0.456,0.44,0.328,2.833333,0.563636,0.427444,0.456,0,0,1,raise
0,0,1,turn,1,6,105,49.5,1.386294,0.036697,2.833213,2,2,1,0.284,0.264,0.464,0.353333,0.246667,0.4,true,12,6,3,0.5,3.091043,0.392523,true,0.44,0.128,2.571429,0.553846,-0.230524,0.456,0.44,0.328,3,0.6,0.392562,0.456,0,0,1,raise
0,0,1,turn,1,8,123.5,41.5,1.871802,0.05,3.314186,2,2,1,0.258182,0.24,0.512727,0.302857,0.211429,0.485714,true,14,7,4,0.5,3.258096,0.390625,true,0.44,0.128,2.714286,0.585714,-0.203599,0.456,0.44,0.328,3.166667,0.630769,0.405465,0.456,0,0,1,raise
0,0,1,turn,1,10,151,28.5,2.079442,0.050314,3.73767,2,2,1,0.236667,0.22,0.553333,0.265,0.185,0.55,true,16,8,5,0.5,3.48124,0.401274,true,0.44,0.128,2.857143,0.613333,-0.171148,0.456,0.44,0.328,3.333333,0.657143,0.37298,0.456,0,1,0,call
0,0,1,river,1,1,160,20.5,0,0.006211,0,2,2,1,0.218462,0.28,0.510769,0.56,0.35,0.09,false,17,8,0,0.470588,3.48124,0.396226,false,0.44,0.128,2.5,0.575,-0.336472,0.456,0.44,0.328,3.5,0.68,0.391672,0.456,0,1,0,call
0,0,1,turn,5,1,175.5,99,2.079442,0.043597,2.079442,2,2,1,0.24,0.3525,0.415,0.235556,0.275556,0.488889,false,1,0,0,0,0,0,false,0.355556,0.071111,2,0.484211,-0.364643,0.38,0.244444,0.182222,3.666667,0.622222,0.529822,0.38,1,0,0,fold
0,0,1,flop,7,2,191,97,2.079442,0.040201,2.197225,2,2,1,0.254737,0.402105,0.349474,0.393333,0.193333,0.413333,true,3,1,1,0.333333,0.693147,0.1,true,0.381818,0.058182,1.75,0.443478,-0.365725,0.325714,0.290909,0.24,4,0.628571,0.638339,0.325714,0,0,1,raise
0,0,1,flop,7,4,296,81,4.394449,0.214854,4.584968,2,2,1,0.242,0.382,0.382,0.337143,0.165714,0.497143,true,5,2,2,0.4,2.302585,0.090909,true,0.381818,0.058182,1.833333,0.466667,-0.311588,0.325714,0.290909,0.24,4.166667,0.645455,1.206168,0.325714,0,1,0,call
0,0,1,flop,15,1,415.5,93,2.525729,0.029206,2.525729,2,2,1,0.29037,0.431111,0.282963,0.295,0.27,0.435,false,2,0,0,0,0,0,false,0.326316,0.033684,1.375,0.36129,-1.181133,0.285,0.273684,0.244211,4.666667,0.593103,1.326871,0.285,1,0,0,fold
0,0,1,flop,29,1,471.5,99,0.693147,0.004224,0.693147,2,2,1,0.469474,0.332632,0.201053,0.373333,0.24,0.386667,false,1,0,0,0,0,0,false,0.218182,0.019394,1.294118,0.266667,-1.184428,0.253333,0.248485,0.231515,5.333333,0.572973,1.47042,0.253333,1,0,0,fold
0,0,1,flop,47,2,534,95,1.098612,0.005587,1.386294,2,2,1,0.544151,0.313962,0.144151,0.436,0.216,0.348,true,3,1,1,0.333333,0.693147,0.142857,true,0.2,0.012549,1.142857,0.223729,-1.171492,0.207273,0.258824,0.247843,6.333333,0.544,1.540445,0.207273,0,1,0,call
0,0,1,turn,47,2,543,90,0.693147,0.00367,1.386294,2,2,1,0.534074,0.326667,0.141481,0.312,0.248,0.44,true,5,2,1,0.4,1.386294,0.272727,true,0.2,0.012549,1.136364,0.232787,-1.150071,0.207273,0.258824,0.247843,6.5,0.552941,1.509457,0.207273,0,1,0,call
0,0,1,river,47,1,556.5,88,2.442347,0.020246,2.442347,2,2,1,0.524364,0.338909,0.138909,0.448,0.48,0.072,false,6,2,0,0.333333,1.386294,0.133333,false,0.2,0.012549,1.086957,0.229032,-1.162532,0.207273,0.258824,0.247843,6.666667,0.561538,1.557634,0.207273,0,0,1,raise
0,0,1,turn,53,2,617.5,96,0.693147,0.003228,1.386294,2,2,1,0.530667,0.310667,0.160667,0.283636,0.316364,0.4,true,3,2,1,0.666667,1.386294,0.6,true,0.196491,0.028772,1.217391,0.252941,-0.98179,0.19,0.266667,0.239298,5.25,0.537931,1.344062,0.19,0,1,0,call
0,0,1,river,53,1,620.5,94,0,0.001609,0,2,2,1,0.521967,0.321967,0.158033,0.373333,0.4,0.226667,false,4,2,0,0.5,1.386294,0.5,false,0.196491,0.028772,1.166667,0.249275,-0.993252,0.19,0.266667,0.239298,5.375,0.545763,1.347976,0.19,0,1,0,call
0,0,1,flop,78,1,778,90.5,1.609438,0.006386,1.609438,2,2,1,0.580253,0.273924,0.147342,0.396364,0.287273,0.316364,false,2,0,0,0,0,0,false,0.173171,0.04439,1.153846,0.22069,-1.021054,0.175385,0.246341,0.227317,6.125,0.509333,1.654771,0.175385,0,1,0,call
0,0,1,turn,78,1,785,85.5,0.693147,0.002541,0.693147,2,2,1,0.573,0.283,0.1455,0.26,0.373333,0.366667,false,3,0,0,0,0,0,false,0.173171,0.04439,1.111111,0.218182,-1.047581,0.175385,0.246341,0.227317,6.25,0.51579,1.660296,0.175385,0,1,0,call
0,0,1,river,78,1,870.5,83.5,4.424847,0.087526,4.424847,2,2,1,0.565926,0.291852,0.143704,0.32,0.485714,0.194286,false,4,0,0,0,0,0,false,0.173171,0.04439,1.071429,0.21573,-1.057998,0.175385,0.246341,0.227317,6.375,0.522078,1.867333,0.175385,1,0,0,fold
0,0,1,flop,88,1,899,94.5,1.386294,0.00443,1.386294,2,2,1,0.589091,0.28,0.132273,0.363333,0.346667,0.29,false,2,0,0,0,0,0,false,0.165217,0.039565,1.034483,0.2,-1.081046,0.162857,0.230435,0.213478,6.625,0.508434,1.878971,0.162857,0,0,1,raise
