@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,1,false,0,1.5,99.5,-0.693147,0.25,0,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,0,0,0,0,0,false,0.24,0.128,2.4,0.24,0.182322,0.57,0.24,0.128,2.4,0.24,0.182322,0.57,0,1,0,call
1,1,0,1,true,2,12.5,99,2.351375,0.456522,2.442347,2,2,1,0.568,0.328,0.128,0.568,0.312,0.12,true,1,0,0,0,0,false,0.44,0.128,2,0.2,0.087011,0.57,0.44,0.328,2.6,0.366667,1.193922,0.57,0,1,0,call
0,0,2,3,false,0,164,99.5,-0.693147,0.00304,0,2,2,1,0.202857,0.331429,0.474286,0.473333,0.426667,0.1,true,0,0,0,0,0,false,0.314286,0.091429,2.222222,0.541176,-0.355341,0.456,0.314286,0.234286,3.5,0.6375,0.391672,0.456,1,0,0,fold
0,0,2,5,false,0,167,99.5,-0.693147,0.002985,0,2,2,1,0.256,0.309333,0.442667,0.548571,0.365714,0.085714,true,0,0,0,0,0,false,0.244444,0.071111,2.222222,0.511111,-0.355341,0.456,0.244444,0.182222,3.5,0.6,0.391672,0.456,0,1,0,call
0,0,2,7,false,0,178.5,99.5,-0.693147,0.002793,0,2,2,1,0.284706,0.331765,0.390588,0.48,0.445,0.075,true,0,0,0,0,0,false,0.290909,0.058182,2,0.46,-0.364643,0.38,0.2,0.149091,3.666667,0.589474,0.529822,0.38,0,1,0,call
1,1,0,7,true,2,180,99,0,0.005525,0.693147,2,2,1,0.268889,0.368889,0.368889,0.426667,0.506667,0.066667,true,1,0,0,0,0,false,0.381818,0.058182,1.818182,0.438095,-0.37386,0.38,0.290909,0.24,3.833333,0.61,0.545822,0.38,0,1,0,call
0,0,2,9,false,0,380,99.5,-0.693147,0.001314,0,2,2,1,0.230476,0.411429,0.36381,0.384,0.556,0.06,true,0,0,0,0,0,false,0.323077,0.049231,1.692308,0.448,-1.133827,0.325714,0.246154,0.203077,4.166667,0.617391,1.206168,0.325714,1,0,0,fold
0,0,2,11,false,0,383,99.5,-0.693147,0.001304,0,2,2,1,0.265455,0.392727,0.347273,0.44,0.505455,0.054545,true,0,0,0,0,0,false,0.28,0.042667,1.692308,0.430769,-1.133827,0.325714,0.213333,0.176,4.166667,0.591667,1.206168,0.325714,0,1,0,call
1,1,0,11,true,2,384.5,99,0,0.002594,0.693147,2,2,1,0.253913,0.41913,0.332174,0.403333,0.546667,0.05,true,1,0,0,0,0,false,0.346667,0.042667,1.571429,0.414815,-1.137281,0.325714,0.28,0.242667,4.333333,0.608,1.212726,0.325714,1,0,0,fold
0,0,2,13,false,0,387.5,99.5,-0.693147,0.001289,0,2,2,1,0.285,0.401667,0.318333,0.449231,0.504615,0.046154,true,0,0,0,0,0,false,0.305882,0.037647,1.571429,0.4,-1.137281,0.325714,0.247059,0.214118,4.333333,0.584615,1.212726,0.325714,1,0,0,fold
0,0,2,15,false,0,390.5,99.5,-0.693147,0.001279,0,2,2,1,0.3136,0.3856,0.3056,0.488571,0.468571,0.042857,true,0,0,0,0,0,false,0.273684,0.033684,1.571429,0.386207,-1.137281,0.325714,0.221053,0.191579,4.333333,0.562963,1.212726,0.325714,0,1,0,call
1,1,0,15,true,2,397,99,1.791759,0.014888,1.94591,2,2,1,0.301538,0.409231,0.293846,0.456,0.504,0.04,true,1,0,0,0,0,false,0.326316,0.033684,1.466667,0.373333,-1.140724,0.325714,0.273684,0.244211,4.5,0.578571,1.251192,0.325714,0,1,0,call
0,0,1,16,true,1,421,99,1.252763,0.008245,1.504077,2,2,1,0.315714,0.415714,0.272857,0.4275,0.535,0.0375,true,1,0,0,0,0,false,0.31,0.032,1.375,0.35,-1.181133,0.285,0.31,0.282,4.833333,0.606667,1.336145,0.285,1,0,0,fold
0,0,2,17,false,0,422.5,99.5,-0.693147,0.001182,0,2,2,1,0.33931,0.401379,0.263448,0.461176,0.503529,0.035294,true,0,0,0,0,0,false,0.295238,0.030476,1.375,0.339394,-1.181133,0.285,0.295238,0.268571,4.833333,0.606667,1.336145,0.285,1,0,0,fold
0,0,2,19,false,0,425.5,99.5,-0.693147,0.001174,0,2,2,1,0.361333,0.388,0.254667,0.491111,0.475556,0.033333,true,0,0,0,0,0,false,0.269565,0.027826,1.375,0.329412,-1.181133,0.285,0.269565,0.245217,4.833333,0.587097,1.336145,0.285,1,0,0,fold
0,0,2,21,false,0,428.5,99.5,-0.693147,0.001166,0,2,2,1,0.381935,0.375484,0.246452,0.517895,0.450526,0.031579,true,0,0,0,0,0,false,0.248,0.0256,1.375,0.32,-1.181133,0.285,0.248,0.2256,4.833333,0.56875,1.336145,0.285,1,0,0,fold
0,0,1,22,true,1,445,99,2.674149,0.031556,2.74084,2,2,1,0.40125,0.36375,0.23875,0.542,0.428,0.03,true,1,0,0,0,0,false,0.238462,0.024615,1.375,0.311111,-1.181133,0.285,0.276923,0.255385,5,0.581818,1.404937,0.285,1,0,0,fold
0,0,2,23,false,0,446.5,99.5,-0.693147,0.001119,0,2,2,1,0.419394,0.352727,0.231515,0.56381,0.407619,0.028571,true,0,0,0,0,0,false,0.22963,0.023704,1.375,0.302703,-1.181133,0.285,0.266667,0.245926,5,0.581818,1.404937,0.285,1,0,0,fold
0,0,1,24,true,1,461.5,99,2.564949,0.027397,2.639057,2,2,1,0.436471,0.342353,0.224706,0.583636,0.389091,0.027273,true,1,0,0,0,0,false,0.221429,0.022857,1.375,0.294737,-1.181133,0.285,0.292857,0.272857,5.166667,0.594118,1.460592,0.285,1,0,0,fold
0,0,2,25,false,0,463,99.5,-0.693147,0.001079,0,2,2,1,0.452571,0.332571,0.218286,0.601739,0.372174,0.026087,true,0,0,0,0,0,false,0.213793,0.022069,1.375,0.287179,-1.181133,0.285,0.282759,0.263448,5.166667,0.594118,1.460592,0.285,1,0,0,fold
0,0,2,27,false,0,466,99.5,-0.693147,0.001072,0,2,2,1,0.467778,0.323333,0.212222,0.618333,0.356667,0.025,true,0,0,0,0,0,false,0.2,0.020645,1.375,0.28,-1.181133,0.285,0.264516,0.246452,5.166667,0.577143,1.460592,0.285,1,0,0,fold
0,0,2,29,false,0,469,99.5,-0.693147,0.001065,0,2,2,1,0.482162,0.314595,0.206486,0.6336,0.3424,0.024,true,0,0,0,0,0,false,0.187879,0.019394,1.375,0.273171,-1.181133,0.285,0.248485,0.231515,5.166667,0.561111,1.460592,0.285,0,1,0,call
0,0,2,31,false,0,474.5,99.5,-0.693147,0.001053,0,2,2,1,0.483077,0.324103,0.195897,0.609231,0.367692,0.023077,true,0,0,0,0,0,false,0.205714,0.018286,1.294118,0.260465,-1.184428,0.253333,0.234286,0.218286,5.333333,0.557895,1.47042,0.253333,0,1,0,call
0,0,2,33,false,0,479,99.5,-0.693147,0.001043,0,2,2,1,0.471,0.341,0.191,0.586667,0.391111,0.022222,true,0,0,0,0,0,false,0.221622,0.017297,1.277778,0.271111,-1.166435,0.228,0.221622,0.206486,5.333333,0.53,1.47042,0.228,1,0,0,fold
