@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
47,591,6.381816,65,4.189655,2,2,1,0.736,0.515,0.332857,0.154286,7,3,0,3,1,1,1,34,14.5,0,14.5,1,2,11.5,17.5,3,0,3,1,2,0,16.5,11.5,0,11.5,0,0,11.5,0.428571,0,0.5,0.5,0.5,0.5,0.426471,0,0.467742,0.25,0.5,0.5,1,6,2,2,2,3,31,4,4,23,true,0.2,0.012549,1.130435,0.24127,-1.026157,0.207273,0.258824,0.247843,5.714286,0.550943,1.356081,0.207273,0,0,1,0,0,0,2
102,1254,7.134094,41,3.73767,2,2,1,0.76,0.558165,0.271927,0.171009,10,3,0,3,1,2,0,58,8,0,8,4,4,0,8,0,0,0,0,0,0,50,8,0,8,4,4,0,0.3,0,0.333333,0.333333,0.4,0,0.137931,0,0.285714,0.258065,0.4,0,1,9,3,5,1,30,28,15.5,10,2.5,false,0.162264,0.043774,1.088235,0.223932,-0.952536,0.152,0.237736,0.223019,7.333333,0.546535,1.578251,0.152,0,0,0,0,1,0,4
112,1506,7.317213,0,0,2,2,1,0.76,0.535868,0.286281,0.178843,5,1,0,1,0,0,1,99,33,0,33,0,0,33,50,0,0,0,0,0,0,49,33,0,33,0,0,33,0.2,0,0.25,0,0,0.5,0.333333,0,0.39759,0,0,0.44,1,4,1,1,2,16,83,2,6,75,true,0.182759,0.048621,1.025641,0.226357,-0.888456,0.134118,0.243103,0.229655,7.3,0.545614,1.482634,0.134118,0,0,0,0,0,1,5
190,2145,7.670895,82.5,4.424847,2,2,1,0.835,0.538031,0.319378,0.143212,4,1,0,1,0,1,0,16.5,5.5,0,5.5,0,5.5,0,8.5,0,0,0,0,0,0,8,5.5,0,5.5,0,5.5,0,0.25,0,0.333333,0,0.5,0,0.333333,0,0.392857,0,0.5,0,1,3,1,2,0,2.5,14,3,11,0,true,0.176289,0.039381,0.772727,0.195146,-1.000486,0.078621,0.22268,0.209485,8.833333,0.517391,1.527454,0.078621,0,0,0,0,0,1,5
197,2234,7.711549,60,4.110874,2,2,1,0.835,0.526305,0.32335,0.150936,9,3,0,3,2,1,0,39,8.5,0,8.5,6.5,2,0,19.5,0,0,0,0,0,0,19.5,8.5,0,8.5,6.5,2,0,0.333333,0,0.375,0.4,0.5,0,0.217949,0,0.346939,0.325,0.571429,0,1,8,5,2,1,14.5,24.5,20,3.5,1,false,0.175124,0.03801,0.771429,0.2,-1.014195,0.076,0.219901,0.207164,8.615385,0.521649,1.518489,0.076,0,0,0,0,1,0,4
233,2473.5,7.813389,65.5,4.197202,2,2,1,0.861053,0.535794,0.328927,0.135794,4,1,0,1,1,0,0,33.5,8.5,0,8.5,8.5,0,0,13,0,0,0,0,0,0,20.5,8.5,0,8.5,8.5,0,0,0.25,0,0.25,0.333333,0,0,0.253731,0,0.253731,0.293103,0,0,0,4,3,1,0,0,33.5,29,4.5,0,false,0.17384,0.032236,0.716049,0.189558,-1.058102,0.063333,0.203376,0.192574,9.538462,0.507623,1.561097,0.063333,0,0,1,0,0,0,2
237,2557,7.84659,60.5,4.119037,2,2,1,0.868,0.524333,0.340167,0.136,7,2,0,2,1,1,0,38.5,10,0,10,8,2,0,17.5,2,0,2,0,2,0,21,8,0,8,8,0,0,0.285714,0,0.333333,0.333333,0.5,0,0.25974,0,0.266667,0.326531,0.307692,0,1,6,3,2,1,1,37.5,24.5,6.5,6.5,false,0.175104,0.031701,0.697674,0.19144,-1.058388,0.061622,0.204149,0.193527,9.923077,0.513913,1.543666,0.061622,0,0,0,1,0,0,3
258,2821.5,7.945024,15,2.772589,2,2,1,0.874286,0.532201,0.319073,0.149189,12,6,0,6,3,2,1,84,41.5,0,41.5,35,4.5,2,10.5,2,0,2,0,2,0,73.5,39.5,0,39.5,35,2.5,2,0.5,0,0.545455,0.5,0.666667,0.5,0.494048,0,0.515528,0.5,0.642857,0.571429,1,11,6,3,2,3.5,80.5,70,7,3.5,true,0.168702,0.032977,0.770115,0.202888,-0.95271,0.06,0.203053,0.193282,8.625,0.5088,1.463406,0.06,0,0,0,0,0,1,5
277,3108,8.041735,0,0,2,2,1,0.88,0.535396,0.318849,0.146187,6,2,0,2,1,0,1,99,23.5,0,23.5,3.5,0,20,72,0,0,0,0,0,0,27,23.5,0,23.5,3.5,0,20,0.333333,0,0.333333,0.333333,0,0.5,0.237374,0,0.237374,0.333333,0,0.232558,0,6,3,1,2,0,99,10.5,2.5,86,true,0.17153,0.030747,0.752688,0.199327,-0.981872,0.054286,0.2,0.19089,8.647058,0.510112,1.474101,0.054286,0,0,1,0,0,0,2
363,3915.5,8.272698,79.5,4.388257,2,2,1,0.8944,0.568114,0.293257,0.138971,5,1,0,1,0,1,0,19.5,2,0,2,0,2,0,13,2,0,2,0,2,0,6.5,0,0,0,0,0,0,0.2,0,0.25,0,0.5,0,0.102564,0,0.181818,0,0.235294,0,1,4,1,2,1,8.5,11,1.5,8.5,1,false,0.161308,0.031717,0.757009,0.18871,-0.946878,0.046531,0.19673,0.189755,9.263158,0.49759,1.65026,0.046531,0,0.666667,0.333333,0,0,0,1
