@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,flop,7,false,0,226,97,2,2,1,0.34,0.38,1,0,0,0,0,false,0.381818,0.058182,1.25,0.247059,-0.81093,0.325714,0.381818,0.330909,4,0.575,0.893168,0.325714,1,bet
0,0,2,turn,7,false,0,292,64,2,2,1,0.472,0.36,5,2,0.4,2.397895,0.285714,false,0.381818,0.058182,1.307692,0.31,-0.81575,0.325714,0.381818,0.330909,4.4,0.622222,0.880088,0.325714,1,bet
0,0,2,river,7,false,0,318,51,2,2,1,0.56,0.35,8,4,0.5,2.917771,0.364583,true,0.381818,0.058182,1.461538,0.372727,-0.716243,0.325714,0.381818,0.330909,3.833333,0.61,0.775385,0.325714,1,bet
0,0,2,turn,47,false,0,497,67,2,2,1,0.622857,0.488,5,2,0.4,2.74084,0.453125,true,0.141176,0.012549,1.411765,0.249057,-0.57955,0.228,0.160784,0.149804,4.125,0.453061,0.7945,0.228,1,bet
0,0,2,flop,131,false,0,1407,97,2,2,1,0.706667,0.504,1,0,0,0,0,false,0.186667,0.056593,0.902439,0.187143,-1.221822,0.114,0.231111,0.219556,6.909091,0.525806,1.795557,0.114,1,bet
0,0,2,flop,153,false,0,1475,99,2,2,1,0.76,0.586667,0,0,0,0,0,false,0.173248,0.055032,0.928571,0.180769,-1.204438,0.103636,0.217834,0.201529,6.076923,0.494203,1.817468,0.103636,1,bet
0,0,2,flop,165,false,0,1562,99,2,2,1,0.78,0.645714,0,0,0,0,0,false,0.172781,0.051124,0.931818,0.179762,-1.192953,0.095,0.220118,0.20497,6.461538,0.497959,1.881496,0.095,1,bet
0,0,2,flop,175,false,0,1608,99,2,2,1,0.796923,0.69,0,0,0,0,0,false,0.168715,0.048268,0.933333,0.177273,-1.185246,0.0912,0.218994,0.204693,6.615385,0.491503,1.910023,0.0912,1,bet
0,0,2,flop,207,false,0,1945.5,99,2,2,1,0.811429,0.724444,0,0,0,0,0,false,0.176303,0.045687,0.844828,0.179343,-1.139586,0.073548,0.214218,0.202085,7.571429,0.506383,1.990223,0.073548,1,bet
0,0,2,flop,233,false,0,2144.5,86,2,2,1,0.824,0.752,1,0,0,0,0,false,0.165401,0.040675,0.819672,0.168966,-1.172541,0.069091,0.203376,0.192574,7.4,0.48878,2.108875,0.069091,1,bet
0,0,2,flop,237,false,0,2300,69,2,2,1,0.835,0.774545,1,0,0,0,0,false,0.166805,0.04,0.825397,0.173109,-1.228575,0.067059,0.204149,0.193527,7.6,0.491429,2.191168,0.067059,1,bet
0,0,2,river,237,false,0,2310,64,2,2,1,0.844706,0.48,5,2,0.4,1.386294,0.085714,true,0.166805,0.04,0.84375,0.179253,-1.210858,0.067059,0.204149,0.193527,7.25,0.493897,2.17128,0.067059,1,bet
0,0,2,flop,261,false,0,2562,99,2,2,1,0.853333,0.793333,0,0,0,0,0,false,0.163019,0.040151,0.84058,0.178788,-1.314579,0.063333,0.204528,0.194868,7.411765,0.496552,2.204605,0.063333,1,bet
0,0,2,flop,277,false,0,2591,99,2,2,1,0.861053,0.809231,0,0,0,0,0,false,0.157295,0.037865,0.842857,0.175912,-1.308611,0.061622,0.196441,0.187331,7.470588,0.482158,2.20348,0.061622,1,bet
0,0,2,flop,323,false,0,2818.5,99,2,2,1,0.868,0.822857,0,0,0,0,0,false,0.153517,0.038654,0.842105,0.169427,-1.3303,0.057,0.202446,0.194618,7.944445,0.482482,2.229302,0.057,1,bet
0,0,2,flop,325,false,0,2824.5,99,2,2,1,0.874286,0.834667,0,0,0,0,0,false,0.155623,0.038419,0.844156,0.170978,-1.324593,0.05561,0.204255,0.196474,8,0.482609,2.226831,0.05561,1,bet
0,0,2,flop,359,false,0,3072.5,99,2,2,1,0.88,0.845,0,0,0,0,0,false,0.152066,0.037576,0.8375,0.163848,-1.315045,0.051818,0.201653,0.194601,8.444445,0.475421,2.329383,0.051818,1,bet
0,0,2,turn,363,false,0,3350.5,30,2,2,1,0.885217,0.573333,2,0,0,0,0,false,0.155858,0.037166,0.833333,0.167705,-1.407364,0.049565,0.204905,0.197929,8.368421,0.484314,2.410914,0.049565,1,bet
0,0,2,flop,365,false,0,3367,99,2,2,1,0.89,0.854118,0,0,0,0,0,false,0.157724,0.036965,0.816092,0.168627,-1.402517,0.048511,0.203794,0.196856,8.473684,0.486084,2.401396,0.048511,1,bet
0,0,2,flop,367,false,0,3642.5,62,2,2,1,0.8944,0.862222,1,0,0,0,0,false,0.159569,0.036766,0.8,0.169529,-1.584993,0.0475,0.205391,0.198491,8.578947,0.487821,2.465546,0.0475,1,bet
0,0,2,turn,367,false,0,3670.5,48,2,2,1,0.898462,0.634286,5,2,0.4,1.704748,0.088235,false,0.159569,0.036766,0.813187,0.173626,-1.569494,0.0475,0.205391,0.198491,8.684211,0.491083,2.444095,0.0475,1,bet
0,0,2,turn,399,false,0,3824,78,2,2,1,0.902222,0.68,3,1,0.333333,1.704748,0.214286,false,0.154342,0.036328,0.821053,0.171867,-1.53882,0.046531,0.20397,0.197618,8.75,0.48724,2.410315,0.046531,1,bet
