@relation PostFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute nbPlayerRoundRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,flop,1,1,62,74,2.302585,0.138889,2.302585,2,2,1,0.473333,0.44,0.106667,0.59,0.29,0.12,false,2,0,0,0,0,0,false,0.44,0.128,1.714286,0.171429,-1.625967,0.456,0.44,0.328,2.8,0.457143,2.104134,0.456,0,0,1,raise
0,0,1,flop,1,3,102,54,2.302585,0.089286,3.401197,2,2,1,0.405714,0.377143,0.234286,0.472,0.232,0.296,true,4,1,1,0.25,2.397895,0.181818,true,0.44,0.128,1.857143,0.275,-0.928713,0.456,0.44,0.328,3,0.525,1.223775,0.456,0,0,1,raise
0,0,1,flop,1,5,142,34,2.302585,0.065789,3.912023,2,2,1,0.355,0.33,0.33,0.393333,0.193333,0.413333,true,6,2,2,0.333333,3.044523,0.266667,true,0.44,0.128,2,0.355556,-0.663877,0.456,0.44,0.328,3.2,0.577778,0.891998,0.456,0,0,1,raise
0,0,1,flop,1,7,186,14,2.639057,0.07,4.304065,2,2,1,0.315556,0.293333,0.404444,0.337143,0.165714,0.497143,true,8,3,3,0.375,3.433987,0.30303,true,0.44,0.128,2.142857,0.42,-0.519124,0.456,0.44,0.328,3.4,0.62,0.76214,0.456,0,1,0,call
0,0,1,flop,5,1,218.5,95.5,1.609438,0.022371,1.609438,2,2,1,0.295385,0.433846,0.28,0.295,0.27,0.435,false,2,0,0,0,0,0,false,0.355556,0.071111,1.5,0.3,-0.77958,0.38,0.355556,0.293333,3.8,0.585714,0.869499,0.38,1,0,0,fold
0,0,1,flop,7,2,237,96,2.197225,0.036585,2.302585,2,2,1,0.3025,0.4775,0.2275,0.373333,0.24,0.386667,true,3,1,1,0.333333,0.693147,0.083333,true,0.381818,0.058182,1.333333,0.288889,-0.783531,0.325714,0.381818,0.330909,4.2,0.6,0.965081,0.325714,0,0,1,raise
0,0,1,flop,7,4,278,78,2.639057,0.047945,3.496508,2,2,1,0.284706,0.449412,0.272941,0.336,0.216,0.448,true,5,2,2,0.4,2.397895,0.285714,true,0.381818,0.058182,1.416667,0.326316,-0.671168,0.325714,0.381818,0.330909,4.4,0.622222,0.880088,0.325714,0,1,0,call
0,0,1,turn,7,2,301.5,62,1.704748,0.017915,2.014903,2,2,1,0.268889,0.48,0.257778,0.53,0.37,0.1,true,7,3,1,0.428571,2.564949,0.282353,true,0.381818,0.058182,1.384615,0.342857,-0.77319,0.325714,0.381818,0.330909,4.6,0.642105,0.886051,0.325714,0,0,1,raise
0,0,1,river,7,2,324,49,0.693147,0.006135,1.386294,2,2,1,0.254737,0.454737,0.296842,0.56,0.35,0.09,true,10,5,1,0.5,3.020425,0.375,true,0.381818,0.058182,1.538462,0.4,-0.679542,0.325714,0.381818,0.330909,4,0.628571,0.755389,0.325714,0,0,1,raise
0,0,1,flop,15,1,345,99,0.916291,0.007194,0.916291,2,2,1,0.326667,0.401667,0.276667,0.305455,0.287273,0.407273,false,1,0,0,0,0,0,false,0.273684,0.033684,1.5,0.364286,-0.666714,0.285,0.221053,0.191579,3.571429,0.525926,0.740672,0.285,0,0,1,raise
0,0,1,flop,15,3,366,94,2.60269,0.035573,2.917771,2,2,1,0.3136,0.3856,0.3056,0.28,0.263333,0.456667,true,3,1,1,0.333333,1.252763,0.135135,true,0.273684,0.033684,1.571429,0.386207,-0.64623,0.285,0.221053,0.191579,3.714286,0.542857,0.805265,0.285,1,0,0,fold
0,0,1,turn,29,1,391,99,0,0.002551,0,2,2,1,0.465882,0.312941,0.224706,0.424,0.296,0.28,false,1,0,0,0,0,0,false,0.187879,0.019394,1.466667,0.294737,-0.650588,0.253333,0.157576,0.140606,4,0.477778,0.819298,0.253333,1,0,0,fold
0,0,1,flop,47,1,446,96,1.94591,0.015453,1.94591,2,2,1,0.571064,0.268936,0.162553,0.335385,0.243077,0.421538,false,2,0,0,0,0,0,false,0.141176,0.012549,1.294118,0.219608,-0.680568,0.228,0.160784,0.149804,4.571429,0.451064,0.963111,0.228,0,0,1,raise
0,0,1,flop,47,3,474.5,82,2.014903,0.01556,3.068053,2,2,1,0.559167,0.263333,0.18,0.311429,0.225714,0.462857,true,4,1,1,0.25,2.079442,0.285714,true,0.141176,0.012549,1.352941,0.234615,-0.627613,0.228,0.160784,0.149804,4.714286,0.4625,0.89986,0.228,0,0,1,raise
0,0,1,turn,47,2,503.5,65,0.916291,0.004941,1.504077,2,2,1,0.547755,0.257959,0.196735,0.52,0.246667,0.233333,true,7,3,1,0.428571,2.862201,0.452055,true,0.141176,0.012549,1.470588,0.262963,-0.553058,0.228,0.160784,0.149804,4.25,0.464,0.78313,0.228,0,1,0,call
0,0,1,river,47,1,507,62.5,0,0.001969,0,2,2,1,0.5368,0.2728,0.1928,0.448,0.28,0.272,false,8,3,0,0.375,2.862201,0.44,false,0.141176,0.012549,1.388889,0.258182,-0.571681,0.228,0.160784,0.149804,4.375,0.47451,0.789048,0.228,0,1,0,call
0,0,1,flop,60,1,628,79.5,1.098612,0.004754,1.098612,2,2,1,0.571148,0.256393,0.174426,0.290667,0.210667,0.498667,false,2,0,0,0,0,0,false,0.14375,0.025625,1.3,0.230303,-0.702778,0.207273,0.190625,0.181875,5,0.486667,1.131605,0.207273,0,1,0,call
