@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,2,1,false,0,1.5,99.5,-0.693147,0.25,0,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,0,0,0,0,0,false,0.24,0.128,2.4,0.24,0.182322,0.57,0.24,0.128,2.4,0.24,0.182322,0.57,0,1,0,call
1,1,0,1,true,2,27,99,3.218876,0.480769,3.258096,2,2,1,0.568,0.328,0.128,0.568,0.312,0.12,true,1,0,0,0,0,false,0.44,0.128,2,0.2,0.087011,0.57,0.44,0.328,2.6,0.366667,1.824549,0.57,0,1,0,call
0,0,2,3,false,0,203,99.5,-0.693147,0.002457,0,2,2,1,0.284,0.364,0.364,0.473333,0.426667,0.1,true,0,0,0,0,0,false,0.314286,0.091429,1.875,0.381818,-0.72728,0.456,0.314286,0.234286,3.4,0.563636,0.76214,0.456,1,0,0,fold
0,0,2,5,false,0,206,99.5,-0.693147,0.002421,0,2,2,1,0.349091,0.330909,0.330909,0.548571,0.365714,0.085714,true,0,0,0,0,0,false,0.244444,0.071111,1.875,0.35,-0.72728,0.456,0.244444,0.182222,3.4,0.516667,0.76214,0.456,0,1,0,call
1,1,0,5,true,2,210,99,1.252763,0.016393,1.504077,2,2,1,0.32,0.386667,0.303333,0.48,0.445,0.075,true,1,0,0,0,0,false,0.355556,0.071111,1.666667,0.323077,-0.733969,0.456,0.355556,0.293333,3.6,0.553846,0.807751,0.456,0,1,0,call
0,0,2,7,false,0,221.5,99.5,-0.693147,0.002252,0,2,2,1,0.345714,0.402857,0.26,0.426667,0.506667,0.066667,true,0,0,0,0,0,false,0.290909,0.058182,1.5,0.28,-0.77958,0.38,0.290909,0.24,3.8,0.546667,0.869499,0.38,0,1,0,call
1,1,0,7,true,2,224,99,0.693147,0.00885,1.098612,2,2,1,0.322667,0.442667,0.242667,0.384,0.556,0.06,true,1,0,0,0,0,false,0.381818,0.058182,1.363636,0.2625,-0.785929,0.38,0.381818,0.330909,4,0.575,0.893168,0.38,0,1,0,call
0,0,2,9,false,0,333,99.5,-0.693147,0.001499,0,2,2,1,0.242,0.432,0.332,0.349091,0.596364,0.054545,true,0,0,0,0,0,false,0.323077,0.049231,1.615385,0.425,-0.66224,0.325714,0.323077,0.28,3.428571,0.573913,0.71935,0.325714,1,0,0,fold
0,0,2,11,false,0,336,99.5,-0.693147,0.001486,0,2,2,1,0.278095,0.411429,0.31619,0.403333,0.546667,0.05,true,0,0,0,0,0,false,0.28,0.042667,1.615385,0.408,-0.66224,0.325714,0.28,0.242667,3.428571,0.55,0.71935,0.325714,1,0,0,fold
0,0,2,13,false,0,339,99.5,-0.693147,0.001473,0,2,2,1,0.310909,0.392727,0.301818,0.449231,0.504615,0.046154,true,0,0,0,0,0,false,0.247059,0.037647,1.615385,0.392308,-0.66224,0.325714,0.247059,0.214118,3.428571,0.528,0.71935,0.325714,1,0,0,fold
