@relation Showdown

@attribute gameCount numeric
@attribute potSize numeric
@attribute logPotSize numeric
@attribute stackSize numeric
@attribute log1pStackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute nbAllPlayerBetRaise numeric
@attribute nbPlayerBetRaise numeric
@attribute nbPlayerPreFlopBetRaise numeric
@attribute nbPlayerPostFlopBetRaise numeric
@attribute nbPlayerFlopBetRaise numeric
@attribute nbPlayerTurnBetRaise numeric
@attribute nbPlayerRiverBetRaise numeric
@attribute allPlayerBetRaiseAmount numeric
@attribute playerBetRaiseAmount numeric
@attribute playerPreFlopBetRaiseAmount numeric
@attribute playerPostFlopBetRaiseAmount numeric
@attribute playerFlopBetRaiseAmount numeric
@attribute playerTurnBetRaiseAmount numeric
@attribute playerRiverBetRaiseAmount numeric
@attribute allPlayerBetsAmount numeric
@attribute playerBetsAmount numeric
@attribute playerPreFlopBetsAmount numeric
@attribute playerPostFlopBetsAmount numeric
@attribute playerFlopBetsAmount numeric
@attribute playerTuretsAmount numeric
@attribute playerRiverBetsAmount numeric
@attribute allPlayerRaisesAmount numeric
@attribute playerRaisesAmount numeric
@attribute playerPreFlopRaisesAmount numeric
@attribute playerPostFlopRaisesAmount numeric
@attribute playerFlopRaisesAmount numeric
@attribute playerTurnRaisesAmount numeric
@attribute playerRiverRaisesAmount numeric
@attribute relNbPlayerBetRaise numeric
@attribute relNbPlayerPreFlopBetRaise numeric
@attribute relNbPlayerPostFlopBetRaise numeric
@attribute relNbPlayerFlopBetRaise numeric
@attribute relNbPlayerTurnBetRaise numeric
@attribute relNbPlayerRiverBetRaise numeric
@attribute relPlayerBetRaiseAmount numeric
@attribute relPlayerPreFlopBetRaiseAmount numeric
@attribute relPlayerPostFlopBetRaiseAmount numeric
@attribute relPlayerFlopBetRaiseAmount numeric
@attribute relPlayerTurnBetRaiseAmount numeric
@attribute relPlayerRiverBetRaiseAmount numeric
@attribute nbPlayerPreFlopBetRaiseTable numeric
@attribute nbPlayerPostFlopBetRaiseTable numeric
@attribute nbPlayerFlopBetRaiseTable numeric
@attribute nbPlayerTurnBetRaiseTable numeric
@attribute nbPlayerRiverBetRaiseTable numeric
@attribute playerPreFlopBetRaiseAmountTable numeric
@attribute playerPostFlopBetRaiseAmountTable numeric
@attribute playerFlopBetRaiseAmountTable numeric
@attribute playerTurnBetRaiseAmountTable numeric
@attribute playerRiverBetRaiseAmountTable numeric
@attribute lastActionWasBetRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute logAFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute part0Prob numeric
@attribute part1Prob numeric
@attribute part2Prob numeric
@attribute part3Prob numeric
@attribute part4Prob numeric
@attribute part5Prob numeric
@attribute avgPartition {0,1,2,3,4,5}

@data
7,330,5.799093,45,3.828641,2,2,1,0.622857,0.242,0.432,0.332,11,6,0,6,2,2,2,54,21.5,0,21.5,10,7.5,4,7,5,0,5,1,2,2,47,16.5,0,16.5,9,5.5,2,0.545455,0,0.6,0.5,0.666667,0.666667,0.398148,0,0.413462,0.30303,0.576923,0.666667,1,10,4,3,3,2,52,33,13,6,true,0.381818,0.058182,1.615385,0.425,-0.66224,0.325714,0.381818,0.330909,3.428571,0.6,0.71935,0.325714,0,0,0,0,0,0,0
60,641,6.463029,71.5,4.283587,2,2,1,0.67,0.544375,0.275625,0.181875,5,1,0,1,0,0,1,27.5,2,0,2,0,0,2,6,0,0,0,0,0,0,21.5,2,0,2,0,0,2,0.2,0,0.25,0,0,0.5,0.072727,0,0.25,0,0,0.666667,1,4,1,1,2,19.5,8,3,2,3,true,0.14375,0.025625,1.227273,0.234783,-0.714921,0.207273,0.190625,0.181875,4.666667,0.495238,1.118856,0.207273,0,0,0,0,0.166667,0.833333,5
91,946.5,6.852771,99,4.60517,2,2,1,0.706667,0.589091,0.257273,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0.149474,0.048842,1.111111,0.204255,-1.159356,0.175385,0.191579,0.175158,5,0.466667,1.552556,0.175385,1,0,0,0,0,0,0
102,1099,7.002156,37,3.637586,2,2,1,0.706667,0.5784,0.2564,0.1664,7,2,0,2,1,1,0,62,13,0,13,2,11,0,15,0,0,0,0,0,0,47,13,0,13,2,11,0,0.285714,0,0.333333,0.333333,0.5,0,0.209677,0,0.42623,0.307692,0.5,0,1,6,3,2,1,31.5,30.5,6.5,22,2,false,0.15283,0.053208,1.1,0.209434,-1.175061,0.162857,0.2,0.185283,5.181818,0.48125,1.52388,0.162857,0,0,0,0,0,1,5
237,2324,7.751045,57,4.060443,2,2,1,0.853333,0.604561,0.265965,0.13,7,3,0,3,1,1,1,42,5,0,5,1,2,2,34,3,0,3,1,0,2,8,2,0,2,0,2,0,0.428571,0,0.5,0.5,0.5,0.5,0.119048,0,0.416667,0.5,0.666667,0.285714,1,6,2,2,2,30,12,2,3,7,false,0.166805,0.04,0.846154,0.181893,-1.207193,0.067059,0.204149,0.193527,7.3125,0.496262,2.161231,0.067059,0,0,0,1,0,0,3
254,2525.5,7.834194,24.5,3.238678,2,2,1,0.853333,0.605902,0.26082,0.13377,7,2,0,2,0,1,1,74.5,4,0,4,0,2,2,10,0,0,0,0,0,0,64.5,4,0,4,0,2,2,0.285714,0,0.333333,0,0.333333,0.5,0.053691,0,0.153846,0,0.129032,0.571429,1,6,1,3,2,48.5,26,7,15.5,3.5,true,0.163566,0.04124,0.852941,0.182239,-1.313649,0.065143,0.206202,0.196279,7.352941,0.49869,2.18939,0.065143,0,0,0,0,0,0,0
322,2816.5,7.94325,64,4.174387,2,2,1,0.868,0.637973,0.238649,0.123784,7,2,0,2,1,0,1,35,3,0,3,1,0,2,7,0,0,0,0,0,0,28,3,0,3,1,0,2,0.285714,0,0.333333,0.333333,0,0.5,0.085714,0,0.272727,0.333333,0,0.571429,1,6,3,1,2,24,11,3,4.5,3.5,true,0.15092,0.038773,0.853333,0.169968,-1.329427,0.058462,0.203067,0.195215,7.944445,0.482482,2.229302,0.058462,0,0,0,1,0,0,3
363,3363.5,8.120737,23.5,3.198673,2,2,1,0.89,0.638328,0.243701,0.118328,5,1,0,1,0,1,0,75.5,2,0,2,0,2,0,72,2,0,2,0,2,0,3.5,0,0,0,0,0,0,0.2,0,0.25,0,0.5,0,0.02649,0,0.235294,0,0.363636,0,1,4,1,2,1,67,8.5,2,5.5,1,false,0.155858,0.037166,0.825581,0.169101,-1.401751,0.049565,0.204905,0.197929,8.473684,0.487662,2.401396,0.049565,0,0,0.5,0.5,0,0,3
367,3688.5,8.212976,39,3.688879,2,2,1,0.902222,0.62344,0.25551,0.121399,9,4,0,4,2,2,0,60,9,0,9,4.5,4.5,0,42,3,0,3,1,2,0,18,6,0,6,3.5,2.5,0,0.444444,0,0.5,0.5,0.666667,0,0.15,0,0.391304,0.321429,0.642857,0,1,8,4,3,1,37,23,14,7,2,false,0.159569,0.036766,0.826087,0.177657,-1.548373,0.0475,0.205391,0.198491,8.35,0.492744,2.420804,0.0475,0,0,0,1,0,0,3
399,3846,8.254789,67,4.219508,2,2,1,0.905714,0.631003,0.251057,0.118266,6,2,0,2,1,1,0,32,6.5,0,6.5,4.5,2,0,9.5,2,0,2,0,2,0,22.5,4.5,0,4.5,4.5,0,0,0.333333,0,0.333333,0.333333,0.5,0,0.203125,0,0.203125,0.214286,0.25,0,0,6,3,2,1,0,32,21,8,3,false,0.154342,0.036328,0.814433,0.173096,-1.538437,0.046531,0.20397,0.197618,8.85,0.490265,2.403938,0.046531,0,0,1,0,0,0,2
