@relation PostCheckBet

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute round {flop,turn,river}
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute betFrequency numeric
@attribute betFrequencyRound numeric
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute betProb numeric
@attribute action {check,bet}

@data
0,0,2,flop,38,false,0,1194,99,2,2,1,0.472,0.38,0,0,0,0,0,false,0.338095,0.039048,0.90625,0.239474,-1.113482,0.12,0.480952,0.39619,5.25,0.790909,1.262656,0.12,1,bet
0,0,2,flop,42,false,0,1294.5,93,2,2,1,0.56,0.504,1,0,0,0,0,false,0.373913,0.035652,0.891892,0.255172,-1.119232,0.103636,0.504348,0.426957,5.071429,0.781818,1.266277,0.103636,1,bet
0,0,2,turn,42,false,0,1326.5,77,2,2,1,0.622857,0.36,4,2,0.5,2.251292,0.386364,true,0.373913,0.035652,0.945946,0.27191,-1.078744,0.103636,0.504348,0.426957,4.8,0.774684,1.224343,0.103636,1,bet
0,0,2,river,42,false,0,1358.5,61,2,2,1,0.67,0.35,9,5,0.555556,2.917771,0.460526,true,0.373913,0.035652,1.027027,0.295652,-1.036891,0.103636,0.504348,0.426957,4.625,0.770732,1.181224,0.103636,1,bet
0,0,2,flop,50,false,0,1410.5,92,2,2,1,0.706667,0.586667,2,1,0.5,0.693147,0.142857,false,0.337037,0.048889,1.078947,0.29901,-1.022968,0.09913,0.485185,0.419259,4.588235,0.755056,1.177305,0.09913,1,bet
0,0,2,turn,50,false,0,1412.5,91,2,2,1,0.736,0.488,3,2,0.666667,1.098612,0.25,true,0.337037,0.048889,1.105263,0.305882,-1.016998,0.09913,0.485185,0.419259,4.333333,0.746667,1.171474,0.09913,1,bet
0,0,2,flop,88,false,0,1664,90,2,2,1,0.76,0.645714,1,0,0,0,0,false,0.241304,0.039565,1.068182,0.25493,-0.997821,0.078621,0.447826,0.376522,4.26087,0.714754,1.235352,0.078621,1,bet
0,0,2,river,88,false,0,1767,38.5,2,2,1,0.78,0.48,11,5,0.454545,3.258096,0.413223,true,0.241304,0.039565,1.155556,0.278378,-0.922904,0.078621,0.447826,0.376522,4.291667,0.720312,1.153279,0.078621,1,bet
0,0,2,flop,94,false,0,1880,83.5,2,2,1,0.796923,0.69,2,1,0.5,0.693147,0.064516,false,0.257143,0.057551,1.1875,0.28875,-0.910049,0.073548,0.471429,0.40449,4.44,0.726087,1.152567,0.073548,1,bet
0,0,2,river,118,false,0,2292,90.5,2,2,1,0.811429,0.566667,3,0,0,0,0,false,0.263934,0.062623,1.114754,0.283168,-1.019178,0.063333,0.485246,0.423279,4.827586,0.742529,1.255465,0.063333,1,bet
0,0,2,turn,136,false,0,2498.5,86,2,2,1,0.824,0.573333,4,1,0.25,1.386294,0.230769,false,0.244286,0.054571,1.044776,0.261947,-1.069548,0.058462,0.487143,0.426,5.133333,0.753684,1.338945,0.058462,1,bet
0,0,2,flop,160,false,0,2862,99,2,2,1,0.835,0.724444,0,0,0,0,0,false,0.232927,0.05878,1.069444,0.254615,-1.090886,0.053023,0.50122,0.442927,5.645161,0.770892,1.389988,0.053023,1,bet
0,0,2,flop,170,false,0,2996,97,2,2,1,0.844706,0.752,1,0,0,0,0,false,0.231034,0.055402,1.025974,0.247101,-1.062495,0.050667,0.506897,0.451954,5.78125,0.777679,1.390569,0.050667,1,bet
0,0,2,flop,186,false,0,3110.5,99,2,2,1,0.853333,0.774545,0,0,0,0,0,false,0.227368,0.050737,1,0.235374,-1.062619,0.0475,0.506316,0.450737,5.878788,0.776271,1.442104,0.0475,1,bet
0,0,2,flop,190,false,0,3366,96.5,2,2,1,0.861053,0.793333,1,0,0,0,0,false,0.238144,0.049691,1.035294,0.250649,-0.979044,0.043846,0.516495,0.456907,5.540541,0.767589,1.36039,0.043846,1,bet
0,0,2,turn,190,false,0,3382,88.5,2,2,1,0.868,0.634286,4,2,0.5,1.704748,0.428571,true,0.238144,0.049691,1.058824,0.255484,-0.970032,0.043846,0.516495,0.456907,5.421052,0.76549,1.350764,0.043846,1,bet
0,0,2,turn,207,false,0,3954.5,38.5,2,2,1,0.88,0.68,7,3,0.428571,3.157,0.371901,true,0.242654,0.050427,1.064516,0.259412,-0.921202,0.04,0.517536,0.45327,5.255814,0.763121,1.338267,0.04,1,bet
0,0,2,flop,276,false,0,4637.5,99,2,2,1,0.885217,0.809231,0,0,0,0,0,false,0.222143,0.041571,0.95614,0.227842,-0.949634,0.03403,0.507857,0.455857,6.108696,0.780925,1.414445,0.03403,1,bet
0,0,2,turn,280,false,0,4926,80.5,2,2,1,0.89,0.715556,4,1,0.25,1.791759,0.27027,false,0.222535,0.040986,0.949153,0.229478,-0.93003,0.033529,0.511268,0.46,6.26087,0.785269,1.394069,0.033529,1,bet
0,0,2,river,294,false,0,5338,61.5,2,2,1,0.8944,0.628571,5,1,0.2,1.609438,0.106667,false,0.225503,0.042416,0.960938,0.236709,-0.981766,0.032113,0.51745,0.468591,6.520833,0.795263,1.422134,0.032113,1,bet
0,0,2,turn,296,false,0,5384.5,81.5,2,2,1,0.898462,0.744,4,1,0.25,1.098612,0.114286,false,0.227333,0.042133,0.94697,0.237917,-0.986858,0.031667,0.517333,0.4688,6.604167,0.795325,1.422516,0.031667,1,bet
