@relation PreFoldCallRaise

@attribute roundCompletion numeric
@attribute playersActed numeric
@attribute playersToAct numeric
@attribute gameCount numeric
@attribute somebodyActedThisRound {false,true}
@attribute nbActionsThisRound numeric
@attribute potSize numeric
@attribute stackSize numeric
@attribute deficit numeric
@attribute potOdds numeric
@attribute maxbet numeric
@attribute nbSeatedPlayers numeric
@attribute nbActivePlayers numeric
@attribute activePlayerRatio numeric
@attribute foldFrequency numeric
@attribute callFrequency numeric
@attribute raiseFrequency numeric
@attribute foldFrequencyRound numeric
@attribute callFrequencyRound numeric
@attribute raiseFrequencyRound numeric
@attribute isComitted {false,true}
@attribute nbAllPlayerRaises numeric
@attribute nbPlayerRaises numeric
@attribute gameRaisePercentage numeric
@attribute gameRaiseAmount numeric
@attribute gameRaiseAmountRatio numeric
@attribute lastActionWasRaise {false,true}
@attribute VPIP numeric
@attribute PFR numeric
@attribute AF numeric
@attribute AFq numeric
@attribute AFAmount numeric
@attribute WtSD numeric
@attribute opponentVPIP numeric
@attribute opponentPFR numeric
@attribute opponentAF numeric
@attribute opponentAFq numeric
@attribute opponentLogAFAmount numeric
@attribute opponentWtSD numeric
@attribute foldProb numeric
@attribute callProb numeric
@attribute raiseProb numeric
@attribute action {fold,call,raise}

@data
0,0,1,1,true,1,10.5,99,2.140066,0.447368,2.251292,2,2,1,0.71,0.16,0.16,0.71,0.14,0.15,true,1,0,0,0,0,false,0.24,0.128,2.4,0.24,0.182322,0.57,0.44,0.328,2.6,0.366667,0.969401,0.57,1,0,0,fold
0,0,2,2,false,0,12,99.5,-0.693147,0.04,0,2,2,1,0.768,0.128,0.128,0.768,0.112,0.12,true,0,0,0,0,0,false,0.2,0.106667,2.4,0.2,0.182322,0.57,0.366667,0.273333,2.6,0.366667,0.969401,0.57,1,0,0,fold
0,0,1,3,true,1,16,99,0.693147,0.111111,1.098612,2,2,1,0.806667,0.106667,0.106667,0.806667,0.093333,0.1,true,1,0,0,0,0,false,0.171429,0.091429,2.4,0.171429,0.182322,0.57,0.457143,0.377143,2.8,0.457143,1.011601,0.57,0,1,0,call
0,0,2,4,false,0,33,99.5,-0.693147,0.014925,0,2,2,1,0.605,0.205,0.205,0.691429,0.222857,0.085714,true,0,0,0,0,0,false,0.275,0.08,2.166667,0.244444,-0.090972,0.456,0.4,0.33,3,0.466667,1.252763,0.456,1,0,0,fold
0,0,1,5,true,1,41,99,1.791759,0.12766,1.94591,2,2,1,0.648889,0.182222,0.182222,0.73,0.195,0.075,true,1,0,0,0,0,false,0.244444,0.071111,2.166667,0.22,-0.090972,0.456,0.466667,0.404444,3.2,0.52,1.424035,0.456,1,0,0,fold
0,0,2,6,false,0,42.5,99.5,-0.693147,0.011628,0,2,2,1,0.684,0.164,0.164,0.76,0.173333,0.066667,true,0,0,0,0,0,false,0.22,0.064,2.166667,0.2,-0.090972,0.456,0.42,0.364,3.2,0.52,1.424035,0.456,1,0,0,fold
0,0,1,7,true,1,50.5,99,1.791759,0.106195,1.94591,2,2,1,0.712727,0.149091,0.149091,0.784,0.156,0.06,true,1,0,0,0,0,false,0.2,0.058182,2.166667,0.183333,-0.090972,0.456,0.472727,0.421818,3.4,0.563636,1.550597,0.456,0,1,0,call
0,0,2,8,false,0,244,99.5,-0.693147,0.002045,0,2,2,1,0.522667,0.242667,0.242667,0.712727,0.232727,0.054545,true,0,0,0,0,0,false,0.266667,0.053333,1.875,0.2625,-1.37087,0.38,0.433333,0.386667,4,0.657143,1.673976,0.38,1,0,0,fold
0,0,2,10,false,0,250,99.5,-0.693147,0.001996,0,2,2,1,0.578824,0.214118,0.214118,0.736667,0.213333,0.05,true,0,0,0,0,0,false,0.228571,0.045714,1.875,0.233333,-1.37087,0.325714,0.442857,0.331429,3.5,0.6375,1.672522,0.325714,0,1,0,call
0,0,2,12,false,0,463,99.5,-0.693147,0.001079,0,2,2,1,0.51619,0.220952,0.268571,0.68,0.273846,0.046154,true,0,0,0,0,0,false,0.325,0.1025,2,0.313043,-0.755023,0.253333,0.45,0.29,2.666667,0.6,0.965081,0.253333,1,0,0,fold
0,0,1,13,true,1,469.5,99,1.504077,0.009494,1.704748,2,2,1,0.538182,0.210909,0.256364,0.702857,0.254286,0.042857,true,1,0,0,0,0,false,0.305882,0.096471,2,0.3,-0.755023,0.253333,0.482353,0.331765,2.777778,0.617391,0.982652,0.253333,1,0,0,fold
0,0,2,14,false,0,471,99.5,-0.693147,0.00106,0,2,2,1,0.558261,0.201739,0.245217,0.722667,0.237333,0.04,true,0,0,0,0,0,false,0.288889,0.091111,2,0.288,-0.755023,0.253333,0.455556,0.313333,2.777778,0.617391,0.982652,0.253333,0,1,0,call
1,1,0,14,true,2,472.5,99,0,0.002112,0.693147,2,2,1,0.535,0.235,0.235,0.6775,0.285,0.0375,true,1,0,0,0,0,false,0.344444,0.091111,1.8,0.276923,-0.75835,0.253333,0.511111,0.368889,2.888889,0.633333,0.988102,0.253333,0,1,0,call
0,0,2,16,false,0,586,99.5,-0.693147,0.000853,0,2,2,1,0.4325,0.30125,0.27,0.637647,0.327059,0.035294,true,0,0,0,0,0,false,0.31,0.082,1.5,0.3,-0.723245,0.207273,0.51,0.332,3.3,0.69375,0.910625,0.207273,0,1,0,call
0,0,1,17,true,1,599.5,99,1.791759,0.009909,1.94591,2,2,1,0.436471,0.312941,0.254118,0.602222,0.364444,0.033333,true,1,0,0,0,0,false,0.342857,0.078095,1.4,0.283333,-0.725937,0.19,0.533333,0.36381,3.5,0.711765,0.953781,0.19,0,1,0,call
0,0,2,18,false,0,679,99.5,-0.693147,0.000736,0,2,2,1,0.380513,0.375385,0.247179,0.570526,0.397895,0.031579,true,0,0,0,0,0,false,0.372727,0.074545,1.157895,0.273171,-0.883501,0.175385,0.509091,0.347273,3.9,0.742105,1.054161,0.175385,1,0,0,fold
0,0,1,19,true,1,698.5,99,2.862201,0.024441,2.917771,2,2,1,0.396,0.366,0.241,0.592,0.378,0.03,true,1,0,0,0,0,false,0.356522,0.071304,1.157895,0.266667,-0.883501,0.175385,0.530435,0.375652,4,0.748718,1.112924,0.175385,0,1,0,call
0,0,2,20,false,0,880.5,99.5,-0.693147,0.000568,0,2,2,1,0.33,0.3675,0.305,0.56381,0.407619,0.028571,true,0,0,0,0,0,false,0.383333,0.068333,1.227273,0.324,-0.888755,0.162857,0.508333,0.36,4.272727,0.770213,1.016846,0.162857,1,0,0,fold
0,0,1,21,true,1,888.5,99,1.791759,0.006708,1.94591,2,2,1,0.343673,0.36,0.298776,0.583636,0.389091,0.027273,true,1,0,0,0,0,false,0.368,0.0656,1.227273,0.317647,-0.888755,0.162857,0.528,0.3856,4.363636,0.775,1.030501,0.162857,0,1,0,call
0,0,2,22,false,0,1082,99.5,-0.693147,0.000462,0,2,2,1,0.323846,0.377692,0.300769,0.558261,0.415652,0.026087,true,0,0,0,0,0,false,0.392308,0.063077,1.166667,0.318519,-1.072937,0.152,0.507692,0.370769,4.166667,0.768627,1.169547,0.152,0,1,0,call
1,1,0,22,true,2,1083.5,99,0,0.000922,0.693147,2,2,1,0.317736,0.389434,0.295094,0.535,0.44,0.025,true,1,0,0,0,0,false,0.430769,0.063077,1.12,0.312727,-1.074236,0.152,0.546154,0.409231,4.25,0.773077,1.171905,0.152,0,1,0,call
0,0,1,23,true,1,1092.5,99,0,0.000914,0.693147,2,2,1,0.324364,0.393455,0.284364,0.5136,0.4624,0.024,true,1,0,0,0,0,false,0.414815,0.060741,1.076923,0.301754,-1.076831,0.1425,0.562963,0.431111,4.416667,0.781482,1.182145,0.1425,1,0,0,fold
0,0,2,24,false,0,1094,99.5,-0.693147,0.000457,0,2,2,1,0.336429,0.386429,0.279286,0.532308,0.444615,0.023077,true,0,0,0,0,0,false,0.4,0.058571,1.076923,0.296552,-1.076831,0.1425,0.542857,0.415714,4.416667,0.781482,1.182145,0.1425,1,0,0,fold
0,0,1,25,true,1,1100,99,1.386294,0.003623,1.609438,2,2,1,0.34807,0.379649,0.274386,0.54963,0.428148,0.022222,true,1,0,0,0,0,false,0.386207,0.056552,1.076923,0.291525,-1.076831,0.1425,0.558621,0.435862,4.5,0.785455,1.187613,0.1425,1,0,0,fold
0,0,2,26,false,0,1101.5,99.5,-0.693147,0.000454,0,2,2,1,0.35931,0.373103,0.269655,0.565714,0.412857,0.021429,true,0,0,0,0,0,false,0.373333,0.054667,1.076923,0.286667,-1.076831,0.1425,0.54,0.421333,4.5,0.785455,1.187613,0.1425,1,0,0,fold
0,0,2,28,false,0,1104.5,99.5,-0.693147,0.000452,0,2,2,1,0.370169,0.36678,0.265085,0.58069,0.398621,0.02069,true,0,0,0,0,0,false,0.35,0.05125,1.076923,0.281967,-1.076831,0.1425,0.50625,0.395,4.5,0.771429,1.187613,0.1425,1,0,0,fold
0,0,1,29,true,1,1116,99,2.251292,0.008441,2.351375,2,2,1,0.380667,0.360667,0.260667,0.594667,0.385333,0.02,true,1,0,0,0,0,false,0.339394,0.049697,1.076923,0.277419,-1.076831,0.1425,0.521212,0.413333,4.583333,0.775439,1.205475,0.1425,1,0,0,fold
0,0,2,30,false,0,1117.5,99.5,-0.693147,0.000447,0,2,2,1,0.39082,0.354754,0.256393,0.607742,0.372903,0.019355,true,0,0,0,0,0,false,0.329412,0.048235,1.076923,0.273016,-1.076831,0.1425,0.505882,0.401176,4.583333,0.775439,1.205475,0.1425,1,0,0,fold
0,0,1,31,true,1,1120.5,99,0,0.000892,0.693147,2,2,1,0.400645,0.349032,0.252258,0.62,0.36125,0.01875,true,1,0,0,0,0,false,0.32,0.046857,1.076923,0.26875,-1.076831,0.1425,0.52,0.418286,4.666667,0.77931,1.203973,0.1425,0,1,0,call
0,0,2,32,false,0,1132,99.5,-0.693147,0.000442,0,2,2,1,0.40375,0.35375,0.244375,0.601212,0.380606,0.018182,true,0,0,0,0,0,false,0.338889,0.045556,1.037037,0.260606,-1.079418,0.134118,0.505556,0.406667,4.75,0.783051,1.223996,0.134118,1,0,0,fold
0,0,1,33,true,1,1139.5,99,1.704748,0.004803,1.871802,2,2,1,0.412923,0.348308,0.240615,0.612941,0.369412,0.017647,true,1,0,0,0,0,false,0.32973,0.044324,1.037037,0.256716,-1.079418,0.134118,0.518919,0.422703,4.833333,0.786667,1.232299,0.134118,0,1,0,call
0,0,2,34,false,0,1177.5,99.5,-0.693147,0.000424,0,2,2,1,0.383429,0.380571,0.237714,0.595429,0.387429,0.017143,true,0,0,0,0,0,false,0.347368,0.043158,0.935484,0.252778,-1.112252,0.126667,0.505263,0.411579,5.166667,0.8,1.246441,0.126667,1,0,0,fold
0,0,1,35,true,1,1189,99,2.251292,0.007927,2.351375,2,2,1,0.392113,0.375211,0.234366,0.606667,0.376667,0.016667,true,1,0,0,0,0,false,0.338462,0.042051,0.935484,0.249315,-1.112252,0.126667,0.517949,0.426667,5.25,0.803077,1.262656,0.126667,1,0,0,fold
0,0,2,36,false,0,1190.5,99.5,-0.693147,0.00042,0,2,2,1,0.400556,0.37,0.231111,0.617297,0.366486,0.016216,true,0,0,0,0,0,false,0.33,0.041,0.935484,0.245946,-1.112252,0.126667,0.505,0.416,5.25,0.803077,1.262656,0.126667,1,0,0,fold
0,0,2,38,false,0,1193.5,99.5,-0.693147,0.000419,0,2,2,1,0.408767,0.364931,0.227945,0.627368,0.356842,0.015789,true,0,0,0,0,0,false,0.314286,0.039048,0.935484,0.242667,-1.112252,0.126667,0.480952,0.39619,5.25,0.790909,1.262656,0.126667,0,1,0,call
0,0,1,39,true,1,1208,99,2.397895,0.009024,2.484907,2,2,1,0.403243,0.373514,0.224865,0.611282,0.373333,0.015385,true,1,0,0,0,0,false,0.330233,0.03814,0.9375,0.249351,-1.10602,0.12,0.493023,0.410233,5.333333,0.782353,1.281542,0.12,0,1,0,call
0,0,2,40,false,0,1272.5,99.5,-0.693147,0.000393,0,2,2,1,0.377722,0.37519,0.248608,0.596,0.389,0.015,true,0,0,0,0,0,false,0.345455,0.037273,0.970588,0.270732,-1.103231,0.114,0.481818,0.400909,4.857143,0.772973,1.247385,0.114,0,1,0,call
0,0,1,41,true,1,1280.5,99,0.693147,0.001559,1.098612,2,2,1,0.380741,0.378272,0.242469,0.581463,0.403902,0.014634,true,1,0,0,0,0,false,0.36,0.036444,0.942857,0.264286,-1.104383,0.108571,0.493333,0.414222,5,0.778947,1.254705,0.108571,1,0,0,fold
0,0,2,42,false,0,1282,99.5,-0.693147,0.00039,0,2,2,1,0.388293,0.373659,0.239512,0.591429,0.394286,0.014286,true,0,0,0,0,0,false,0.352174,0.035652,0.942857,0.261176,-1.104383,0.108571,0.482609,0.405217,5,0.778947,1.254705,0.108571,0,1,0,call
1,1,0,42,true,2,1288.5,99,1.791759,0.004635,1.94591,2,2,1,0.383614,0.381205,0.236627,0.577674,0.408372,0.013953,true,1,0,0,0,0,false,0.373913,0.035652,0.916667,0.25814,-1.105533,0.108571,0.504348,0.426957,5.071429,0.781818,1.266277,0.108571,0,1,0,call
0,0,1,43,true,1,1376.5,99,0.693147,0.001451,1.098612,2,2,1,0.361818,0.370909,0.268636,0.564545,0.421818,0.013636,true,1,0,0,0,0,false,0.365957,0.034894,1.081081,0.310638,-1.014881,0.103636,0.514894,0.439149,4.470588,0.767059,1.159642,0.103636,1,0,0,fold
0,0,2,44,false,0,1378,99.5,-0.693147,0.000363,0,2,2,1,0.368989,0.366742,0.265618,0.574222,0.412444,0.013333,true,0,0,0,0,0,false,0.358333,0.034167,1.081081,0.307368,-1.014881,0.103636,0.504167,0.43,4.470588,0.767059,1.159642,0.103636,1,0,0,fold
0,0,2,46,false,0,1381,99.5,-0.693147,0.000362,0,2,2,1,0.376,0.362667,0.262667,0.583478,0.403478,0.013043,true,0,0,0,0,0,false,0.344,0.0328,1.081081,0.304167,-1.014881,0.103636,0.484,0.4128,4.470588,0.758139,1.159642,0.103636,1,0,0,fold
0,0,2,48,false,0,1384,99.5,-0.693147,0.000361,0,2,2,1,0.382857,0.358681,0.25978,0.59234,0.394894,0.012766,true,0,0,0,0,0,false,0.330769,0.031538,1.081081,0.301031,-1.014881,0.103636,0.465385,0.396923,4.470588,0.749425,1.159642,0.103636,1,0,0,fold
0,0,1,49,true,1,1394.5,99,2.140066,0.006058,2.251292,2,2,1,0.389565,0.354783,0.256957,0.600833,0.386667,0.0125,true,1,0,0,0,0,false,0.324528,0.030943,1.081081,0.297959,-1.014881,0.103636,0.475472,0.408302,4.529412,0.752273,1.1723,0.103636,1,0,0,fold
0,0,2,50,false,0,1396,99.5,-0.693147,0.000358,0,2,2,1,0.396129,0.350968,0.254194,0.60898,0.378776,0.012245,true,0,0,0,0,0,false,0.318519,0.03037,1.081081,0.29495,-1.014881,0.103636,0.466667,0.400741,4.529412,0.752273,1.1723,0.103636,0,0,1,raise
0,0,1,50,true,2,1404.5,98,1.791759,0.004254,2.079442,2,2,1,0.391915,0.347234,0.262128,0.5968,0.3712,0.032,true,2,1,0.5,0.693147,0.142857,true,0.337037,0.048889,1.108108,0.302,-1.009966,0.103636,0.485185,0.419259,4.588235,0.755056,1.177305,0.103636,0,1,0,call
0,0,2,52,false,0,1478.5,99.5,-0.693147,0.000338,0,2,2,1,0.386122,0.353469,0.261633,0.585098,0.383529,0.031373,true,0,0,0,0,0,false,0.325,0.047143,1.128205,0.313208,-0.97737,0.095,0.485714,0.404286,4.05,0.738947,1.131315,0.095,1,0,0,fold
0,0,1,53,true,1,1497,99,2.80336,0.010902,2.862201,2,2,1,0.392323,0.349899,0.25899,0.593077,0.376154,0.030769,true,1,0,0,0,0,false,0.319298,0.046316,1.128205,0.31028,-0.97737,0.095,0.494737,0.414737,4.1,0.741667,1.156915,0.095,1,0,0,fold
0,0,2,54,false,0,1498.5,99.5,-0.693147,0.000334,0,2,2,1,0.3984,0.3464,0.2564,0.600755,0.369057,0.030189,true,0,0,0,0,0,false,0.313793,0.045517,1.128205,0.307407,-0.97737,0.095,0.486207,0.407586,4.1,0.741667,1.156915,0.095,1,0,0,fold
0,0,2,56,false,0,1501.5,99.5,-0.693147,0.000333,0,2,2,1,0.404356,0.34297,0.253861,0.608148,0.362222,0.02963,true,0,0,0,0,0,false,0.303333,0.044,1.128205,0.304587,-0.97737,0.095,0.47,0.394,4.1,0.734021,1.156915,0.095,1,0,0,fold
0,0,2,58,false,0,1507,99.5,-0.693147,0.000332,0,2,2,1,0.415922,0.336311,0.248932,0.615273,0.355636,0.029091,true,0,0,0,0,0,false,0.293548,0.042581,1.128205,0.299099,-0.97737,0.0912,0.470968,0.38129,3.952381,0.729293,1.157606,0.0912,1,0,0,fold
0,0,1,59,true,1,1511,99,0.693147,0.001322,1.098612,2,2,1,0.421538,0.333077,0.246538,0.622143,0.349286,0.028571,true,1,0,0,0,0,false,0.288889,0.041905,1.128205,0.296429,-0.97737,0.0912,0.479365,0.391111,4,0.732,1.158293,0.0912,1,0,0,fold
0,0,2,60,false,0,1512.5,99.5,-0.693147,0.00033,0,2,2,1,0.427048,0.329905,0.24419,0.628772,0.343158,0.02807,true,0,0,0,0,0,false,0.284375,0.04125,1.128205,0.293805,-0.97737,0.0912,0.471875,0.385,4,0.732,1.158293,0.0912,1,0,0,fold
0,0,2,62,false,0,1515.5,99.5,-0.693147,0.00033,0,2,2,1,0.432453,0.326792,0.241887,0.635172,0.337241,0.027586,true,0,0,0,0,0,false,0.275758,0.04,1.128205,0.291228,-0.97737,0.0912,0.457576,0.373333,4,0.724752,1.158293,0.0912,0,0,1,raise
0,0,1,62,true,2,1527,98,2.197225,0.005859,2.397895,2,2,1,0.428411,0.323738,0.248972,0.624407,0.331525,0.044068,true,2,1,0.5,0.693147,0.1,true,0.290909,0.055152,1.153846,0.297391,-0.9729,0.0912,0.472727,0.388485,4.047619,0.727451,1.16796,0.0912,1,0,0,fold
0,0,1,63,true,1,1531,99,0.693147,0.001305,1.098612,2,2,1,0.433704,0.320741,0.246667,0.630667,0.326,0.043333,true,1,0,0,0,0,false,0.286567,0.054328,1.153846,0.294828,-0.9729,0.0912,0.480597,0.397612,4.095238,0.730097,1.168607,0.0912,1,0,0,fold
